['LFXS26973', 'LFXC22526', 'LFXS28968', 'LMXS28626', 'LMXS28636', 'LFXS26566', 'LFXS28566']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
The icemaker stops producing ice 	 talks_about 	 The icemaker
The icemaker stops producing ice 	 talks_about 	 producing ice
The icemaker 	 stops 	 producing ice
producing ice 	 stops_reverse 	 The icemaker
The icemaker is turned OFF for an extended period of time 	 talks_about 	 an extended period of time
The icemaker is turned OFF for an extended period of time 	 talks_about 	 The icemaker
an extended period of time 	 is_turned_OFF_for_reverse 	 The icemaker
The icemaker 	 is_turned_OFF_for 	 an extended period of time
the ice compartment will gradually warm up to the temperature of the refrigerator compartment 	 talks_about 	 the temperature of the refrigerator compartment
the ice compartment will gradually warm up to the temperature of the refrigerator compartment 	 talks_about 	 the ice compartment
the temperature of the refrigerator compartment 	 will_gradually_warm_up_to_reverse 	 the ice compartment
the ice compartment 	 will_gradually_warm_up_to 	 the temperature of the refrigerator compartment
The ice passage may become blocked with frost 	 talks_about 	 The ice passage
The ice passage may become blocked with frost 	 talks_about 	 blocked with frost
The ice passage may become blocked with frost 	 talks_about 	 frost
The ice passage 	 may_become 	 blocked with frost
blocked with frost 	 may_become_reverse 	 The ice passage
frost 	 blocked_with_reverse 	 The ice passage
The ice passage 	 blocked_with 	 frost
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Storing cans or other items in the ice bin will damage the icemaker.', 'Never use thin crystal glasses or containers to collect ice. Such containers may chip or break resulting in glass fragments in the ice.'] 	 talks_about 	 When handling In-Door Ice Bin, keep hands away from the icemaker tray area to avoid personal injury.
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Storing cans or other items in the ice bin will damage the icemaker.', 'Never use thin crystal glasses or containers to collect ice. Such containers may chip or break resulting in glass fragments in the ice.'] 	 talks_about 	 Storing cans or other items in In-Door Ice Bin will damage the icemaker.
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Storing cans or other items in the ice bin will damage the icemaker.', 'Never use thin crystal glasses or containers to collect ice. Such containers may chip or break resulting in glass fragments in the ice.'] 	 talks_about 	 Never use thin crystal glasses or containers to collect ice.
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Storing cans or other items in the ice bin will damage the icemaker.', 'Never use thin crystal glasses or containers to collect ice. Such containers may chip or break resulting in glass fragments in the ice.'] 	 talks_about 	 Such containers may chip or break resulting in glass fragments in the ice.
When handling In-Door Ice Bin, keep hands away from the icemaker tray area to avoid personal injury. 	 talks_about 	 handling In-Door Ice Bin
When handling In-Door Ice Bin, keep hands away from the icemaker tray area to avoid personal injury. 	 talks_about 	 keep hands away from the icemaker tray area to avoid personal injury
keep hands away from the icemaker tray area to avoid personal injury 	 Synchronous 	 handling In-Door Ice Bin
handling In-Door Ice Bin 	 Synchronous 	 keep hands away from the icemaker tray area to avoid personal injury
Never use thin crystal glasses or containers to collect ice. 	 paraphrase 	 thin crystal glasses or containers should not be used to collect ice
thin crystal glasses or containers should not be used to collect ice 	 talks_about 	 thin crystal glasses or containers
thin crystal glasses or containers should not be used to collect ice 	 talks_about 	 to collect ice
thin crystal glasses or containers 	 should_not_be_used 	 to collect ice
Storing cans or other items in In-Door Ice Bin will damage the icemaker. 	 talks_about 	 the icemaker
Storing cans or other items in In-Door Ice Bin will damage the icemaker. 	 talks_about 	 Storing cans or other items in In-Door Ice Bin
the icemaker 	 will_damage_reverse 	 Storing cans or other items in In-Door Ice Bin
Storing cans or other items in In-Door Ice Bin 	 will_damage 	 the icemaker
Such containers may chip or break resulting in glass fragments in the ice. 	 talks_about 	 resulting in glass fragments in the ice
Such containers may chip or break resulting in glass fragments in the ice. 	 talks_about 	 Such containers
resulting in glass fragments in the ice 	 break_reverse 	 Such containers
Such containers 	 break 	 resulting in glass fragments in the ice
['Only qualified service personnel from an LG Electronics service center should disassemble or repair the icemaker.'] 	 talks_about 	 Only qualified service personnel from an LG Electronics service center should disassemble or repair the icemaker.
Only qualified service personnel from an LG Electronics service center should disassemble or repair the icemaker. 	 talks_about 	 Only qualified service personnel from an LG Electronics service center
Only qualified service personnel from an LG Electronics service center should disassemble or repair the icemaker. 	 talks_about 	 the icemaker
Only qualified service personnel from an LG Electronics service center 	 repair 	 the icemaker
the icemaker 	 repair_reverse 	 Only qualified service personnel from an LG Electronics service center
['Gently pull the handle to open the ice compartment.', 'To remove the in-door ice bin, grip the front handle, slightly lift the bottom, and slowly pull out the bin as shown.'] 	 talks_about 	 Gently pull the handle to open the ice compartment.
['Gently pull the handle to open the ice compartment.', 'To remove the in-door ice bin, grip the front handle, slightly lift the bottom, and slowly pull out the bin as shown.'] 	 talks_about 	 To remove In-Door Ice Bin, grip the front handle, slightly lift the bottom, and slowly pull out In-Door Ice Bin as shown.
To remove In-Door Ice Bin, grip the front handle, slightly lift the bottom, and slowly pull out In-Door Ice Bin as shown. 	 talks_about 	 In-Door Ice Bin
To remove In-Door Ice Bin, grip the front handle, slightly lift the bottom, and slowly pull out In-Door Ice Bin as shown. 	 talks_about 	 grip the front handle slightly lift the bottom and slowly pull out In-Door Ice Bin as shown
In-Door Ice Bin 	 should_be_removed_by 	 grip the front handle slightly lift the bottom and slowly pull out In-Door Ice Bin as shown
Gently pull the handle to open the ice compartment. 	 paraphrase 	 the handle should be pulled to open the ice compartment
the handle should be pulled to open the ice compartment 	 talks_about 	 the handle
the handle should be pulled to open the ice compartment 	 talks_about 	 to open the ice compartment
the handle 	 should_be_pulled 	 to open the ice compartment
the handle should be pulled to open the ice compartment 	 talks_about 	 open the ice compartment
the handle 	 should_be_pulled_to 	 open the ice compartment
open the ice compartment 	 should_be_pulled_to_reverse 	 the handle
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Avoid touching the auto shutoff (feeler arm) when replacing the ice bin. See the label on the ice compartment door for details.'] 	 talks_about 	 When handling In-Door Ice Bin, keep hands away from the icemaker tray area to avoid personal injury.
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Avoid touching the auto shutoff (feeler arm) when replacing the ice bin. See the label on the ice compartment door for details.'] 	 talks_about 	 Avoid touching the auto shutoff ( feeler arm ) when replacing In-Door Ice Bin.
['When handling the ice bin, keep hands away from the icemaker tray area to avoid personal injury.', 'Avoid touching the auto shutoff (feeler arm) when replacing the ice bin. See the label on the ice compartment door for details.'] 	 talks_about 	 See the label on the ice compartment door for details.
Avoid touching the auto shutoff ( feeler arm ) when replacing In-Door Ice Bin. 	 talks_about 	 replacing In-Door Ice Bin
Avoid touching the auto shutoff ( feeler arm ) when replacing In-Door Ice Bin. 	 talks_about 	 Avoid touching the auto shutoff feeler arm
Avoid touching the auto shutoff feeler arm 	 Synchronous 	 replacing In-Door Ice Bin
replacing In-Door Ice Bin 	 Synchronous 	 Avoid touching the auto shutoff feeler arm
See the label on the ice compartment door for details. 	 paraphrase 	 the label should be seen on the ice compartment door for details
the label should be seen on the ice compartment door for details 	 talks_about 	 the label
the label should be seen on the ice compartment door for details 	 talks_about 	 on the ice compartment door for details
the label 	 should_be_seen 	 on the ice compartment door for details
the label should be seen on the ice compartment door for details 	 talks_about 	 the ice compartment door
the ice compartment door 	 should_be_seen_on_reverse 	 the label
the label 	 should_be_seen_on 	 the ice compartment door
['Carefully insert the in-door ice bin, slanting the top slightly to fit it under the icemaker.', 'Gently push the handle to close the ice compartment.'] 	 talks_about 	 Carefully insert In-Door Ice Bin, slanting the top slightly to fit In-Door Ice Bin under the icemaker.
['Carefully insert the in-door ice bin, slanting the top slightly to fit it under the icemaker.', 'Gently push the handle to close the ice compartment.'] 	 talks_about 	 Gently push the handle to close the ice compartment.
Gently push the handle to close the ice compartment. 	 paraphrase 	 the handle should be pushed to close the ice compartment
the handle should be pushed to close the ice compartment 	 talks_about 	 the handle
the handle should be pushed to close the ice compartment 	 talks_about 	 to close the ice compartment
the handle 	 should_be_pushed 	 to close the ice compartment
Carefully insert In-Door Ice Bin, slanting the top slightly to fit In-Door Ice Bin under the icemaker. 	 talks_about 	 the icemaker
Carefully insert In-Door Ice Bin, slanting the top slightly to fit In-Door Ice Bin under the icemaker. 	 talks_about 	 Carefully insert In-Door Ice Bin
the icemaker 	 to_fit_under_reverse 	 Carefully insert In-Door Ice Bin
Carefully insert In-Door Ice Bin 	 to_fit_under 	 the icemaker
the handle should be pushed to close the ice compartment 	 talks_about 	 close the ice compartment
the handle 	 should_be_pushed_to 	 close the ice compartment
close the ice compartment 	 should_be_pushed_to_reverse 	 the handle
['DO NOT place fingers in the automatic icemaker when the refrigerator is plugged in.', 'Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes.'] 	 talks_about 	 DO NOT place fingers in Automatic Icemaker when the refrigerator is plugged in.
['DO NOT place fingers in the automatic icemaker when the refrigerator is plugged in.', 'Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes.'] 	 talks_about 	 Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes.
DO NOT place fingers in Automatic Icemaker when the refrigerator is plugged in. 	 talks_about 	 the refrigerator is plugged in
DO NOT place fingers in Automatic Icemaker when the refrigerator is plugged in. 	 talks_about 	 DO NOT place fingers in Automatic Icemaker
DO NOT place fingers in Automatic Icemaker 	 Synchronous 	 the refrigerator is plugged in
the refrigerator is plugged in 	 Synchronous 	 DO NOT place fingers in Automatic Icemaker
Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes. 	 talks_about 	 releases the ice cubes
Avoid contact with any moving parts of the ejector mechanism or with the heater that releases the ice cubes. 	 talks_about 	 Avoid contact with any moving parts of the ejector mechanism or with the heater
Avoid contact with any moving parts of the ejector mechanism or with the heater 	 that 	 releases the ice cubes
DO NOT place fingers in Automatic Icemaker 	 paraphrase 	 fingers should not be placed in Automatic Icemaker
fingers should not be placed in Automatic Icemaker 	 talks_about 	 fingers
fingers should not be placed in Automatic Icemaker 	 talks_about 	 in Automatic Icemaker
fingers 	 should_not_be_placed 	 in Automatic Icemaker
Avoid contact with any moving parts of the ejector mechanism or with the heater 	 paraphrase 	 contact should be avoided with any moving parts of the ejector mechanism or with the heater
contact should be avoided with any moving parts of the ejector mechanism or with the heater 	 talks_about 	 contact
contact should be avoided with any moving parts of the ejector mechanism or with the heater 	 talks_about 	 with any moving parts of the ejector mechanism or with the heater
contact 	 should_be_avoided 	 with any moving parts of the ejector mechanism or with the heater
fingers should not be placed in Automatic Icemaker 	 talks_about 	 Automatic Icemaker
Automatic Icemaker 	 should_not_be_placed_in_reverse 	 fingers
fingers 	 should_not_be_placed_in 	 Automatic Icemaker
['Icemaker', 'Power Switch', 'Ice-detecting Sensor', 'Auto Shutoff (feeler arm)'] 	 talks_about 	 Icemaker Power Switch Ice-detecting Sensor Auto Shutoff ( feeler arm )
Icemaker Power Switch Ice-detecting Sensor Auto Shutoff ( feeler arm ) 	 talks_about 	 Icemaker
Icemaker Power Switch Ice-detecting Sensor Auto Shutoff ( feeler arm ) 	 talks_about 	 Switch Ice-detecting Sensor Auto Shutoff
Icemaker 	 [is]_Power_[of]_reverse 	 Switch Ice-detecting Sensor Auto Shutoff
Switch Ice-detecting Sensor Auto Shutoff 	 [is]_Power_[of] 	 Icemaker
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 Ice is made in In-Door Icemaker and sent to the dispenser.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 In-Door Icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 a newly installed refrigerator to begin making ice takes about 12 to 24 hours.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 Ice-making stops when the in-door ice bin is full.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 When full, the in-door ice bin holds approximately 6 to 8 ( 12-16 oz. )
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 glasses of ice.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 Foreign substances or frost on the ice-detecting sensor can interrupt ice production.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 Make sure the sensor area is clean at all times for proper operation.
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 To increase ice production, use the Ice Plus function.
To increase ice production, use the Ice Plus function. 	 talks_about 	 ice production
To increase ice production, use the Ice Plus function. 	 talks_about 	 use the Ice Plus function
ice production 	 should_be_increased_by 	 use the Ice Plus function
['Ice is made in the automatic in-door icemaker and sent to the dispenser. The icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions.', 'It takes about 12 to 24 hours for a newly installed refrigerator to begin making ice.', 'Ice-making stops when the in-door ice bin is full. When full, the in-door ice bin holds approximately 6 to 8 (12-16 oz.) glasses of ice.', 'Foreign substances or frost on the ice-detecting sensor can interrupt ice production. Make sure the sensor area is clean at all times for proper operation.', 'To increase ice production, use the Ice Plus function. The function increases both ice making and freezing capabilities.'] 	 talks_about 	 the Ice Plus function increases both ice making and freezing capabilities.
Ice-making stops when the in-door ice bin is full. 	 talks_about 	 the in-door ice bin is full
Ice-making stops when the in-door ice bin is full. 	 talks_about 	 Ice-making stops
Ice-making stops 	 Synchronous 	 the in-door ice bin is full
the in-door ice bin is full 	 Synchronous 	 Ice-making stops
When full, the in-door ice bin holds approximately 6 to 8 ( 12-16 oz. ) 	 talks_about 	 the in-door ice bin holds approximately 6 to 8 12-16 oz
Make sure the sensor area is clean at all times for proper operation. 	 talks_about 	 the sensor area is clean at all times for proper operation
Make sure the sensor area is clean at all times for proper operation. 	 talks_about 	 Make sure
Ice is made in In-Door Icemaker and sent to the dispenser. 	 talks_about 	 the dispenser
Ice is made in In-Door Icemaker and sent to the dispenser. 	 talks_about 	 Ice
Ice is made in In-Door Icemaker and sent to the dispenser. 	 talks_about 	 In-Door Icemaker
the dispenser 	 is_sent_to_reverse 	 Ice
Ice 	 is_sent_to 	 the dispenser
In-Door Icemaker 	 is_made_in_reverse 	 Ice
Ice 	 is_made_in 	 In-Door Icemaker
In-Door Icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks_about 	 In-Door Icemaker
In-Door Icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks_about 	 a 24-hour period
In-Door Icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks_about 	 depending on freezer compartment temperature, room temperature, number of other operating conditions
In-Door Icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks_about 	 depending on freezer compartment temperature, room temperature, number of door openings
In-Door Icemaker produces 70-182 cubes in a 24-hour period, depending on freezer compartment temperature, room temperature, number of door openings and other operating conditions. 	 talks_about 	 70-182 cubes
In-Door Icemaker 	 produces_70-182_cubes_in 	 a 24-hour period
In-Door Icemaker 	 produces_70-182_cubes 	 depending on freezer compartment temperature, room temperature, number of other operating conditions
In-Door Icemaker 	 produces_70-182_cubes 	 depending on freezer compartment temperature, room temperature, number of door openings
depending on freezer compartment temperature, room temperature, number of other operating conditions 	 produces_70-182_cubes_reverse 	 In-Door Icemaker
In-Door Icemaker 	 produces 	 70-182 cubes
a 24-hour period 	 produces_70-182_cubes_in_reverse 	 In-Door Icemaker
70-182 cubes 	 produces_reverse 	 In-Door Icemaker
depending on freezer compartment temperature, room temperature, number of door openings 	 produces_70-182_cubes_reverse 	 In-Door Icemaker
a newly installed refrigerator to begin making ice takes about 12 to 24 hours. 	 talks_about 	 a newly installed refrigerator begin
a newly installed refrigerator to begin making ice takes about 12 to 24 hours. 	 talks_about 	 about 12 to 24 hours
a newly installed refrigerator to begin making ice takes about 12 to 24 hours. 	 talks_about 	 a newly installed refrigerator to begin making ice
a newly installed refrigerator begin 	 takes 	 about 12 to 24 hours
about 12 to 24 hours 	 takes_reverse 	 a newly installed refrigerator to begin making ice
a newly installed refrigerator to begin making ice 	 takes 	 about 12 to 24 hours
about 12 to 24 hours 	 takes_reverse 	 a newly installed refrigerator begin
Foreign substances or frost on the ice-detecting sensor can interrupt ice production. 	 talks_about 	 ice production
Foreign substances or frost on the ice-detecting sensor can interrupt ice production. 	 talks_about 	 Foreign substances or frost on the ice-detecting sensor
ice production 	 can_interrupt_reverse 	 Foreign substances or frost on the ice-detecting sensor
Foreign substances or frost on the ice-detecting sensor 	 can_interrupt 	 ice production
the Ice Plus function increases both ice making and freezing capabilities. 	 talks_about 	 both ice freezing capabilities
the Ice Plus function increases both ice making and freezing capabilities. 	 talks_about 	 function
the Ice Plus function increases both ice making and freezing capabilities. 	 talks_about 	 both ice making
the Ice Plus function increases both ice making and freezing capabilities. 	 talks_about 	 the Ice
both ice freezing capabilities 	 increases_reverse 	 function
function 	 increases 	 both ice freezing capabilities
both ice making 	 increases_reverse 	 function
function 	 increases 	 both ice making
both ice freezing capabilities 	 increases_reverse 	 the Ice
the Ice 	 increases 	 both ice making
the Ice 	 increases 	 both ice freezing capabilities
both ice making 	 increases_reverse 	 the Ice
the in-door ice bin is full 	 talks_about 	 the in-door ice bin
the in-door ice bin holds approximately 6 to 8 12-16 oz 	 talks_about 	 approximately 6 to 8 12-16 oz
the in-door ice bin holds approximately 6 to 8 12-16 oz 	 talks_about 	 the in-door ice bin
approximately 6 to 8 12-16 oz 	 holds_reverse 	 the in-door ice bin
the in-door ice bin 	 holds 	 approximately 6 to 8 12-16 oz
the sensor area is clean at all times for proper operation 	 talks_about 	 all times for proper operation
the sensor area is clean at all times for proper operation 	 talks_about 	 the sensor area
the sensor area is clean at all times for proper operation 	 talks_about 	 clean
all times for proper operation 	 is_clean_at_reverse 	 the sensor area
the sensor area 	 is 	 clean
clean 	 is_reverse 	 the sensor area
the sensor area 	 is_clean_at 	 all times for proper operation
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 Freezer Icemaker is only available on some models.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 Freezer Icemaker may vary depending on model purchased.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 Throw is also necessary if the refrigerator has not been used for a long time.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 Freezer Icemaker begins producing ice approximately 48 hours after the appliance is initially installed.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 The sound of ice dropping into the ice bin is normal.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 If the ice bin is completely filled with ice, ice production will stop.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 The amount and shape of ice may vary according to the environment ( ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.
['This feature is only available on some models.', 'The feature may vary depending on model purchased.', 'Throw away the first bin full of ice (about 140-160 cubes) after installation. This is also necessary if the refrigerator has not been used for a long time.', 'The icemaker begins producing ice approximately 48 hours after the appliance is initially installed.', 'The sound of ice dropping into the ice bin is normal.', 'If the ice bin is completely filled with ice, ice production will stop.', 'The amount and shape of ice may vary according to the environment (ambient temperature around the appliance, frequency of the door being opened, amount of food stored in the appliance, water pressure, etc.).', 'In the event of a power outage, throw away the ice stored in the ice bin.'] 	 talks_about 	 ).
