['LRMNC1803', 'LRMNC1813']
REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
['Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.', 'Press the Vacation button to turn the function off or on. The LED stays lit when the function is on.', 'When this function is on, the other buttons on the control panel are locked. When you return home, remember to turn this function off to unlock the other buttons and return the refrigerator to its previous temperature settings.'] 	 talks_about 	 Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.
['Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.', 'Press the Vacation button to turn the function off or on. The LED stays lit when the function is on.', 'When this function is on, the other buttons on the control panel are locked. When you return home, remember to turn this function off to unlock the other buttons and return the refrigerator to its previous temperature settings.'] 	 talks_about 	 Press the Vacation button to turn this power saving mode off or on.
['Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.', 'Press the Vacation button to turn the function off or on. The LED stays lit when the function is on.', 'When this function is on, the other buttons on the control panel are locked. When you return home, remember to turn this function off to unlock the other buttons and return the refrigerator to its previous temperature settings.'] 	 talks_about 	 The LED stays lit when this power saving mode is on.
['Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.', 'Press the Vacation button to turn the function off or on. The LED stays lit when the function is on.', 'When this function is on, the other buttons on the control panel are locked. When you return home, remember to turn this function off to unlock the other buttons and return the refrigerator to its previous temperature settings.'] 	 talks_about 	 When this power saving mode is on, the other buttons on the control panel are locked.
['Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days.', 'Press the Vacation button to turn the function off or on. The LED stays lit when the function is on.', 'When this function is on, the other buttons on the control panel are locked. When you return home, remember to turn this function off to unlock the other buttons and return the refrigerator to its previous temperature settings.'] 	 talks_about 	 When you return home, remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings.
Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days. 	 talks_about 	 you are away from home for a few days
Set the refrigerator to this power saving mode to reduce energy consumption when you are away from home for a few days. 	 talks_about 	 Set the refrigerator to this power saving mode to reduce energy consumption
Set the refrigerator to this power saving mode to reduce energy consumption 	 Synchronous 	 you are away from home for a few days
you are away from home for a few days 	 Synchronous 	 Set the refrigerator to this power saving mode to reduce energy consumption
Press the Vacation button to turn this power saving mode off or on. 	 paraphrase 	 the Vacation button should be pressed to turn this power saving mode off or on
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 the Vacation button
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 to turn this power saving mode off or on
the Vacation button 	 should_be_pressed 	 to turn this power saving mode off or on
The LED stays lit when this power saving mode is on. 	 talks_about 	 this power saving mode is on
The LED stays lit when this power saving mode is on. 	 talks_about 	 The LED stays lit
The LED stays lit 	 Synchronous 	 this power saving mode is on
this power saving mode is on 	 Synchronous 	 The LED stays lit
When this power saving mode is on, the other buttons on the control panel are locked. 	 talks_about 	 this power saving mode is on
When this power saving mode is on, the other buttons on the control panel are locked. 	 talks_about 	 the other buttons on the control panel are locked
the other buttons on the control panel are locked 	 Synchronous 	 this power saving mode is on
this power saving mode is on 	 Synchronous 	 the other buttons on the control panel are locked
When you return home, remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings. 	 talks_about 	 you return home
When you return home, remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings. 	 talks_about 	 remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings
remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings 	 Synchronous 	 you return home
you return home 	 Synchronous 	 remember to turn this power saving mode off to unlock the other buttons on the control panel and return the refrigerator to the refrigerator previous temperature settings
Set the refrigerator to this power saving mode to reduce energy consumption 	 paraphrase 	 the refrigerator should be set to this power saving mode to reduce energy consumption
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 the refrigerator
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 to this power saving mode to reduce energy consumption
the refrigerator 	 should_be_set 	 to this power saving mode to reduce energy consumption
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 turn this power saving mode off
the Vacation button should be pressed to turn this power saving mode off or on 	 talks_about 	 this power saving mode
turn this power saving mode off 	 should_be_pressed_to_reverse 	 the Vacation button
the Vacation button 	 should_be_pressed_to 	 turn this power saving mode off
the Vacation button 	 to_turn_off 	 this power saving mode
this power saving mode 	 to_turn_off_reverse 	 the Vacation button
you are away from home for a few days 	 talks_about 	 a few days
you are away from home for a few days 	 talks_about 	 away from home
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 this power saving mode
the refrigerator should be set to this power saving mode to reduce energy consumption 	 talks_about 	 reduce energy consumption
the refrigerator 	 should_be_set_to 	 this power saving mode
this power saving mode 	 should_be_set_to_reverse 	 the refrigerator
the refrigerator 	 should_be_set_to_this_power_saving_mode_to 	 reduce energy consumption
reduce energy consumption 	 should_be_set_to_this_power_saving_mode_to_reverse 	 the refrigerator
The LED stays lit 	 talks_about 	 lit
The LED stays lit 	 talks_about 	 The LED
lit 	 stays_reverse 	 The LED
The LED 	 stays 	 lit
you return home 	 talks_about 	 home
['To activate, press and hold the Express Frz. button until the LED lights up on the control panel. The function operates for about 24 hours, then turns off automatically.', 'To deactivate the function manually, press and hold the Express Frz. button.'] 	 talks_about 	 button until the LED lights up on the control panel.
['To activate, press and hold the Express Frz. button until the LED lights up on the control panel. The function operates for about 24 hours, then turns off automatically.', 'To deactivate the function manually, press and hold the Express Frz. button.'] 	 talks_about 	 This function operates for about 24 hours, then turns off automatically.
['To activate, press and hold the Express Frz. button until the LED lights up on the control panel. The function operates for about 24 hours, then turns off automatically.', 'To deactivate the function manually, press and hold the Express Frz. button.'] 	 talks_about 	 To deactivate This function manually, press and hold the Express Frz.
To deactivate This function manually, press and hold the Express Frz. 	 talks_about 	 This function
To deactivate This function manually, press and hold the Express Frz. 	 talks_about 	 manually press and hold the Express Frz
This function 	 should_be_deactivated_by 	 manually press and hold the Express Frz
['To activate, press and hold the Express Frz. button until the LED lights up on the control panel. The function operates for about 24 hours, then turns off automatically.', 'To deactivate the function manually, press and hold the Express Frz. button.'] 	 talks_about 	 button.
button until the LED lights up on the control panel. 	 talks_about 	 the LED lights up on the control panel
button until the LED lights up on the control panel. 	 talks_about 	 button
button 	 succeded_by 	 the LED lights up on the control panel
the LED lights up on the control panel 	 preceded_by 	 button
This function operates for about 24 hours, then turns off automatically. 	 talks_about 	 This function
This function operates for about 24 hours, then turns off automatically. 	 talks_about 	 about 24 hours
about 24 hours 	 operates_for_reverse 	 This function
This function 	 operates_for 	 about 24 hours
the LED lights up on the control panel 	 talks_about 	 the control panel
the LED lights up on the control panel 	 talks_about 	 the LED
the control panel 	 lights_up_on_reverse 	 the LED
the LED 	 lights_up_on 	 the control panel
['The Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.'] 	 talks_about 	 Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store.
['The Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.'] 	 talks_about 	 When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 on display in a retail store
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 Synchronous 	 on display in a retail store
on display in a retail store 	 Synchronous 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 activated
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 Synchronous 	 activated
activated 	 Synchronous 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 OFF is displayed on the control panel
OFF is displayed on the control panel 	 Conjunction 	 the display remains on for 20 seconds
the display remains on for 20 seconds 	 Conjunction 	 OFF is displayed on the control panel
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 Display Mode For Store Use
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the refrigerator sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the refrigerator sections to conserve energy
all cooling in the freezer sections to conserve energy 	 disables_reverse 	 Display Mode For Store Use
all cooling in the refrigerator sections to conserve energy 	 disables_reverse 	 Display Mode For Store Use
Display Mode For Store Use 	 disables 	 all cooling in the freezer sections to conserve energy
the display remains on for 20 seconds 	 talks_about 	 20 seconds
the display remains on for 20 seconds 	 talks_about 	 the display
20 seconds 	 remains_for_reverse 	 the display
the display 	 remains_for 	 20 seconds
OFF is displayed on the control panel 	 talks_about 	 the control panel
['With either refrigerator door opened, press the Express Frz. button 3 times consecutively while pressing the Refrigerator button. The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. Use the same procedure to activate Display Mode.'] 	 talks_about 	 With either refrigerator door opened, press the Express Frz.
['With either refrigerator door opened, press the Express Frz. button 3 times consecutively while pressing the Refrigerator button. The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. Use the same procedure to activate Display Mode.'] 	 talks_about 	 button 3 times consecutively while pressing the Refrigerator button.
['With either refrigerator door opened, press the Express Frz. button 3 times consecutively while pressing the Refrigerator button. The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. Use the same procedure to activate Display Mode.'] 	 talks_about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
['With either refrigerator door opened, press the Express Frz. button 3 times consecutively while pressing the Refrigerator button. The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. Use the same procedure to activate Display Mode.'] 	 talks_about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
With either refrigerator door opened, press the Express Frz. 	 talks_about 	 With either refrigerator door opened
With either refrigerator door opened, press the Express Frz. 	 talks_about 	 press the Express Frz
button 3 times consecutively while pressing the Refrigerator button. 	 talks_about 	 pressing the Refrigerator button
button 3 times consecutively while pressing the Refrigerator button. 	 talks_about 	 button 3 times consecutively
button 3 times consecutively 	 Synchronous 	 pressing the Refrigerator button
pressing the Refrigerator button 	 Synchronous 	 button 3 times consecutively
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 Display Mode For Store Use Only is deactivated
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 The control panel beeps and the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 that 	 Display Mode For Store Use Only is deactivated
Use the same procedure to activate Display Mode ( For Store Use Only ). 	 paraphrase 	 the same procedure should be used to activate Display Mode For Store Use Only
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 the same procedure
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 to activate Display Mode For Store Use Only
the same procedure 	 should_be_used 	 to activate Display Mode For Store Use Only
press the Express Frz 	 paraphrase 	 the Express Frz should be pressed 
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 The control panel beeps
The control panel beeps 	 Conjunction 	 the temperature settings display to confirm
the temperature settings display to confirm 	 Conjunction 	 The control panel beeps
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 activate Display Mode For Store Use Only
activate Display Mode For Store Use Only 	 should_be_used_to_reverse 	 the same procedure
the same procedure 	 should_be_used_to 	 activate Display Mode For Store Use Only
button 3 times consecutively 	 talks_about 	 3 times
button 3 times consecutively 	 talks_about 	 button
3 times 	 has_consecutively_of_reverse 	 button
button 	 has_consecutively_of 	 3 times
the temperature settings display to confirm 	 talks_about 	 the temperature settings
the temperature settings display to confirm 	 talks_about 	 confirm
the temperature settings 	 display_to 	 confirm
confirm 	 display_to_reverse 	 the temperature settings
['Sabbath mode automatically turns off after 96 hours.', 'Once turned on, Sabbath mode is maintained even after a power outage.', 'Selecting Sabbath mode automatically turns off the Alarm functions.'] 	 talks_about 	 Sabbath Mode automatically turns off after 96 hours.
['Sabbath mode automatically turns off after 96 hours.', 'Once turned on, Sabbath mode is maintained even after a power outage.', 'Selecting Sabbath mode automatically turns off the Alarm functions.'] 	 talks_about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
['Sabbath mode automatically turns off after 96 hours.', 'Once turned on, Sabbath mode is maintained even after a power outage.', 'Selecting Sabbath mode automatically turns off the Alarm functions.'] 	 talks_about 	 Selecting Sabbath Mode automatically turns off the Alarm functions.
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 turned on
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode is maintained even after a power outage 	 preceded_by 	 turned on
turned on 	 succeded_by 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 Sabbath Mode
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 96 hours
Sabbath Mode 	 automatically_turns_off_after 	 96 hours
96 hours 	 automatically_turns_off_after_reverse 	 Sabbath Mode
Selecting Sabbath Mode automatically turns off the Alarm functions. 	 talks_about 	 Selecting Sabbath Mode
Selecting Sabbath Mode automatically turns off the Alarm functions. 	 talks_about 	 the Alarm functions
Selecting Sabbath Mode 	 automatically_turns_off 	 the Alarm functions
the Alarm functions 	 automatically_turns_off_reverse 	 Selecting Sabbath Mode
Sabbath Mode is maintained even after a power outage 	 talks_about 	 Sabbath Mode
Sabbath Mode is maintained even after a power outage 	 talks_about 	 even after a power outage
Sabbath Mode 	 is_maintained 	 even after a power outage
even after a power outage 	 is_maintained_reverse 	 Sabbath Mode
['To turn Sabbath mode on, touch the display to activate it, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display.', 'To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds.'] 	 talks_about 	 To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display.
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display. 	 talks_about 	 Sabbath mode
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display. 	 talks_about 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display
Sabbath mode 	 should_be_turned_by 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display
['To turn Sabbath mode on, touch the display to activate it, then press and hold the Freezer and Vacation buttons for 3 seconds until appears in the display.', 'To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds.'] 	 talks_about 	 To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds.
To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds. 	 talks_about 	 Sabbath mode
To turn Sabbath mode off manually, press and hold the Freezer and Vacation buttons for 3 seconds. 	 talks_about 	 off manually press and hold the Freezer and Vacation buttons for 3 seconds
Sabbath mode 	 should_be_turned_by 	 off manually press and hold the Freezer and Vacation buttons for 3 seconds
['Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. This prevents food odor and taste transfer throughout the refrigerator. For dated products, check date code to ensure freshness.'] 	 talks_about 	 Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted.
['Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. This prevents food odor and taste transfer throughout the refrigerator. For dated products, check date code to ensure freshness.'] 	 talks_about 	 Wrap prevents food odor and taste transfer throughout the refrigerator.
['Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. This prevents food odor and taste transfer throughout the refrigerator. For dated products, check date code to ensure freshness.'] 	 talks_about 	 date code should be checked to ensure freshness For dated products
Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. 	 talks_about 	 noted
Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. 	 talks_about 	 Wrap or store food in the refrigerator in airtight and moisture-proof material
Wrap or store food in the refrigerator in airtight and moisture-proof material 	 unless_otherwise 	 noted
Wrap or store food in the refrigerator in airtight and moisture-proof material 	 paraphrase 	 food should be stored Wrap or in the refrigerator in airtight and moisture-proof material
food should be stored Wrap or in the refrigerator in airtight and moisture-proof material 	 talks_about 	 food
food should be stored Wrap or in the refrigerator in airtight and moisture-proof material 	 talks_about 	 Wrap or in the refrigerator in airtight and moisture-proof material
food 	 should_be_stored 	 Wrap or in the refrigerator in airtight and moisture-proof material
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 Wrap
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 food odor
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 taste transfer throughout the refrigerator
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 the refrigerator
Wrap 	 prevents 	 food odor
Wrap 	 prevents 	 taste transfer throughout the refrigerator
Wrap 	 prevents_food_odor_throughout 	 the refrigerator
the refrigerator 	 prevents_food_odor_throughout_reverse 	 Wrap
taste transfer throughout the refrigerator 	 prevents_reverse 	 Wrap
food odor 	 prevents_reverse 	 Wrap
date code should be checked to ensure freshness For dated products 	 talks_about 	 ensure freshness For dated products
date code should be checked to ensure freshness For dated products 	 talks_about 	 date code
ensure freshness For dated products 	 should_be_checked_to_reverse 	 date code
date code 	 should_be_checked_to 	 ensure freshness For dated products
food should be stored Wrap or in the refrigerator in airtight and moisture-proof material 	 talks_about 	 Wrap
Wrap 	 should_be_stored_reverse 	 food
food 	 should_be_stored 	 Wrap
['Do not overfill or pack items too tightly into door bins. Doing so may cause damage to the bin or personal injury if items are removed with excessive force.', 'Do not store glass containers in the freezer. Contents may expand when frozen, break the container and cause injury.'] 	 talks_about 	 Do not overfill or pack items too tightly into door bins.
['Do not overfill or pack items too tightly into door bins. Doing so may cause damage to the bin or personal injury if items are removed with excessive force.', 'Do not store glass containers in the freezer. Contents may expand when frozen, break the container and cause injury.'] 	 talks_about 	 Doing so may cause damage to the bin or personal injury if items are removed with excessive force.
['Do not overfill or pack items too tightly into door bins. Doing so may cause damage to the bin or personal injury if items are removed with excessive force.', 'Do not store glass containers in the freezer. Contents may expand when frozen, break the container and cause injury.'] 	 talks_about 	 Do not store glass containers in the freezer.
['Do not overfill or pack items too tightly into door bins. Doing so may cause damage to the bin or personal injury if items are removed with excessive force.', 'Do not store glass containers in the freezer. Contents may expand when frozen, break the container and cause injury.'] 	 talks_about 	 Contents may expand when frozen, break the container and cause injury.
Doing so may cause damage to the bin or personal injury if items are removed with excessive force. 	 talks_about 	 items are removed with excessive force
Doing so may cause damage to the bin or personal injury if items are removed with excessive force. 	 talks_about 	 Doing so may cause damage to the bin or personal injury
Doing so may cause damage to the bin or personal injury 	 Condition 	 items are removed with excessive force
items are removed with excessive force 	 Follows 	 Doing so may cause damage to the bin or personal injury
Do not store glass containers in the freezer. 	 paraphrase 	 glass containers should not be stored in the freezer
glass containers should not be stored in the freezer 	 talks_about 	 glass containers
glass containers should not be stored in the freezer 	 talks_about 	 in the freezer
glass containers 	 should_not_be_stored 	 in the freezer
Contents may expand when frozen, break the container and cause injury. 	 talks_about 	 frozen
Contents may expand when frozen, break the container and cause injury. 	 talks_about 	 Contents may expand, break the container and cause injury
Contents may expand , break the container and cause injury 	 Synchronous 	 frozen
frozen 	 Synchronous 	 Contents may expand , break the container and cause injury
glass containers should not be stored in the freezer 	 talks_about 	 the freezer
the freezer 	 should_not_be_stored_in_reverse 	 glass containers
glass containers 	 should_not_be_stored_in 	 the freezer
items are removed with excessive force 	 talks_about 	 items
items are removed with excessive force 	 talks_about 	 excessive force
items 	 are_removed_with 	 excessive force
excessive force 	 are_removed_with_reverse 	 items
Doing so may cause damage to the bin or personal injury 	 talks_about 	 Doing so
Doing so may cause damage to the bin or personal injury 	 talks_about 	 damage to the bin or personal injury
Doing so 	 may_cause 	 damage to the bin or personal injury
damage to the bin or personal injury 	 may_cause_reverse 	 Doing so
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Cooling hot foods before freezing saves energy.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 If you are leaving home for a short period, like a short vacation, the refrigerator should be left on.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.
['Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.', 'Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze. Cooling hot foods before freezing saves energy.', 'If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.', 'If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.', 'Do not store food with high moisture content towards the top of the refrigerator. The moisture could come in direct contact with the cold air and freeze.', 'Wash food before storing it in the refrigerator. Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.', 'If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. Wipe off the condensation with a clean cloth or a paper towel.', 'If the refrigerator door or freezer drawer is opened or closed too often, warm air may penetrate the refrigerator and raise its temperature. This can increase the running costs of the unit.'] 	 talks_about 	 If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord.
