OPERATION 	 description 	 steps before use
Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 the dispenser switch
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch 	 should be pressed 	 with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 a glass or other container
the dispenser switch 	 should be pressed with a glass or other container to 	 dispense cubed ice, water or crushed ice
the dispenser switch 	 should be pressed with 	 a glass or other container
Craft Ice Mode description 	 talks about 	 Craft Ice Mode is only available on some models.
Craft Ice Mode description 	 talks about 	 The Freezer button can also be used to set Craft Ice Mode to either 3 ICE or 6 ICE.
Craft Ice Mode description 	 talks about 	 The default mode is 3 ICE.
Craft Ice Mode description 	 talks about 	 For more ice, select the 6 ICE mode.
Craft Ice Mode description 	 talks about 	 For clearer ice, select the 3 ICE mode.
Craft Ice Mode is only available on some models. 	 talks about 	 Craft Ice Mode
Craft Ice Mode is only available on some models. 	 talks about 	 some models
Craft Ice Mode is only available on some models. 	 talks about 	 only available
Craft Ice Mode 	 is only available on 	 some models
Craft Ice Mode 	 is 	 only available
The Freezer button can also be used to set Craft Ice Mode to either 3 ICE or 6 ICE. 	 talks about 	 The Freezer button
The Freezer button can also be used to set Craft Ice Mode to either 3 ICE or 6 ICE. 	 talks about 	 either 3 ICE or 6 ICE
The Freezer button can also be used to set Craft Ice Mode to either 3 ICE or 6 ICE. 	 talks about 	 Craft Ice Mode
The Freezer button can also be used to set Craft Ice Mode to either 3 ICE or 6 ICE. 	 talks about 	 set Craft Ice Mode to either 3 ICE or 6 ICE
The Freezer button 	 to set Craft Ice Mode to 	 either 3 ICE or 6 ICE
The Freezer button 	 to set 	 Craft Ice Mode
The Freezer button 	 can be used to 	 set Craft Ice Mode to either 3 ICE or 6 ICE
The default mode is 3 ICE. 	 talks about 	 The default mode
The default mode is 3 ICE. 	 talks about 	 3 ice
The default mode is 3 ICE. 	 talks about 	 3 ICE
The default mode 	 is 	 3 ice
The default mode 	 is 	 3 ICE
Craft Ice Mode has default mode 	 talks about 	 The default mode is 3 ICE.
Craft Ice Mode use 	 talks about 	 Touch any button on the control panel to activate any button on the control panel.
Craft Ice Mode use 	 talks about 	 Press and hold the Freezer button for 3 seconds until the control panel beeps and the current ice mode appears.
Craft Ice Mode use 	 talks about 	 Press the Freezer button repeatedly to toggle between the 3 ICE and 6 ICE modes.
Craft Ice Mode use 	 talks about 	 After 5 seconds of idle time, the last mode set will be saved, and the display will return to normal.
Touch any button on the control panel to activate any button on the control panel. 	 paraphrase 	 any button on the control panel should be touched to activate any button on the control panel
any button on the control panel should be touched to activate any button on the control panel 	 talks about 	 any button on the control panel
any button on the control panel should be touched to activate any button on the control panel 	 talks about 	 to activate any button on the control panel
any button on the control panel 	 should be touched 	 to activate any button on the control panel
Press and hold the Freezer button for 3 seconds until the control panel beeps and the current ice mode appears. 	 talks about 	 the control panel beeps and the current ice mode appears
Press and hold the Freezer button for 3 seconds until the control panel beeps and the current ice mode appears. 	 talks about 	 Press and hold the Freezer button for 3 seconds
Press and hold the Freezer button for 3 seconds 	 Precedence 	 the control panel beeps and the current ice mode appears
Press the Freezer button repeatedly to toggle between the 3 ICE and 6 ICE modes. 	 paraphrase 	 the Freezer button should be pressed repeatedly to toggle between the 3 ICE and 6 ICE modes
the Freezer button should be pressed repeatedly to toggle between the 3 ICE and 6 ICE modes 	 talks about 	 the Freezer button
the Freezer button should be pressed repeatedly to toggle between the 3 ICE and 6 ICE modes 	 talks about 	 repeatedly to toggle between the 3 ICE and 6 ICE modes
the Freezer button 	 should be pressed 	 repeatedly to toggle between the 3 ICE and 6 ICE modes
After 5 seconds of idle time, the last mode set will be saved, and the display will return to normal. 	 talks about 	 the display will return to normal
After 5 seconds of idle time, the last mode set will be saved, and the display will return to normal. 	 talks about 	 the last mode set will be saved
the last mode set will be saved 	 Conjunction 	 the display will return to normal
any button on the control panel should be touched to activate any button on the control panel 	 talks about 	 activate any button on the control panel
any button on the control panel 	 should be touched to 	 activate any button on the control panel
the Freezer button should be pressed repeatedly to toggle between the 3 ICE and 6 ICE modes 	 talks about 	 toggle between the 3 ICE and 6 ICE modes
the Freezer button 	 should be pressed repeatedly to 	 toggle between the 3 ICE and 6 ICE modes
the display will return to normal 	 talks about 	 the display
the display will return to normal 	 talks about 	 normal
the display 	 will return to 	 normal
Display Mode description 	 talks about 	 Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store.
Display Mode description 	 talks about 	 When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.
Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks about 	 on display in a retail store
Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks about 	 Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy
Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy 	 Synchronous 	 on display in a retail store
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks about 	 activated
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks about 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 Synchronous 	 activated
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks about 	 the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks about 	 OFF is displayed on the control panel
OFF is displayed on the control panel 	 Conjunction 	 the display remains on for 20 seconds
Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks about 	 Display Mode
Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks about 	 all cooling in the freezer sections to conserve energy
Display Mode disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks about 	 all cooling in the refrigerator sections to conserve energy
Display Mode 	 disables 	 all cooling in the freezer sections to conserve energy
Display Mode 	 disables 	 all cooling in the refrigerator sections to conserve energy
the display remains on for 20 seconds 	 talks about 	 the display
the display remains on for 20 seconds 	 talks about 	 20 seconds
the display 	 remains for 	 20 seconds
OFF is displayed on the control panel 	 talks about 	 the control panel
Display Mode use 	 talks about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
Display Mode use 	 talks about 	 The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated.
Display Mode use 	 talks about 	 Use the same procedure to activate Display Mode.
The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. 	 talks about 	 Display Mode is deactivated
The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated. 	 talks about 	 The control panel beeps and the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 that 	 Display Mode is deactivated
Use the same procedure to activate Display Mode. 	 paraphrase 	 the same procedure should be used to activate Display Mode
the same procedure should be used to activate Display Mode 	 talks about 	 the same procedure
the same procedure should be used to activate Display Mode 	 talks about 	 to activate Display Mode
the same procedure 	 should be used 	 to activate Display Mode
The control panel beeps and the temperature settings display to confirm 	 talks about 	 the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 talks about 	 The control panel beeps
The control panel beeps 	 Conjunction 	 the temperature settings display to confirm
the same procedure should be used to activate Display Mode 	 talks about 	 activate Display Mode
the same procedure 	 should be used to 	 activate Display Mode
the temperature settings display to confirm 	 talks about 	 the temperature settings
the temperature settings display to confirm 	 talks about 	 confirm
the temperature settings 	 display to 	 confirm
Display Mode start or activate 	 talks about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
Display Mode start or activate 	 talks about 	 The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated.
Display Mode start or activate 	 talks about 	 Use the same procedure to activate Display Mode.
Display Mode stop or deactivate 	 talks about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
Display Mode stop or deactivate 	 talks about 	 The control panel beeps and the temperature settings display to confirm that Display Mode is deactivated.
Display Mode stop or deactivate 	 talks about 	 Use the same procedure to activate Display Mode.
Sabbath Mode description 	 talks about 	 Sabbath Mode is used on the Jewish Sabbath and holidays.
Sabbath Mode description 	 talks about 	 Sabbath Mode automatically turns off after 96 hours.
Sabbath Mode description 	 talks about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
Sabbath Mode description 	 talks about 	 Selecting Sabbath Mode automatically turns off the alarm functions.
Sabbath Mode description 	 talks about 	 The dispenser and InstaView are disabled in Sabbath Mode, on applicable models.
Sabbath Mode description 	 talks about 	 ice from jamming in the ice chute.
Sabbath Mode description 	 talks about 	 A container with a very small opening should be held as close to the dispenser as possible to avoid spilling.
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks about 	 turned on
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks about 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode is maintained even after a power outage 	 Succession 	 turned on
Sabbath Mode is used on the Jewish Sabbath and holidays. 	 talks about 	 Sabbath Mode
Sabbath Mode is used on the Jewish Sabbath and holidays. 	 talks about 	 the Jewish holidays
Sabbath Mode is used on the Jewish Sabbath and holidays. 	 talks about 	 the Jewish Sabbath
Sabbath Mode 	 is used on 	 the Jewish holidays
Sabbath Mode 	 is used on 	 the Jewish Sabbath
Sabbath Mode automatically turns off after 96 hours. 	 talks about 	 Sabbath Mode
Sabbath Mode automatically turns off after 96 hours. 	 talks about 	 96 hours
Sabbath Mode 	 automatically turns off after 	 96 hours
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks about 	 Selecting Sabbath Mode
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks about 	 the alarm functions
Selecting Sabbath Mode 	 automatically turns off 	 the alarm functions
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 The dispenser
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 disabled
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 InstaView
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 Sabbath Mode
The dispenser 	 are 	 disabled
InstaView 	 are disabled in 	 Sabbath Mode
InstaView 	 are 	 disabled
The dispenser 	 are disabled in 	 Sabbath Mode
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks about 	 A container with a very small opening
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks about 	 avoid spilling
A container with a very small opening 	 should be held to 	 avoid spilling
Sabbath Mode is maintained even after a power outage 	 talks about 	 Sabbath Mode
Sabbath Mode is maintained even after a power outage 	 talks about 	 even after a power outage
Sabbath Mode 	 is maintained 	 even after a power outage
Sabbath Mode start or activate 	 talks about 	 To turn Sabbath Mode on, touch the display to activate Sabbath Mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until sb appears in the display.
To turn Sabbath Mode on, touch the display to activate Sabbath Mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until sb appears in the display. 	 talks about 	 Sabbath Mode
To turn Sabbath Mode on, touch the display to activate Sabbath Mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until sb appears in the display. 	 talks about 	 on touch the display to activate Sabbath Mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until sb appears in the display
Sabbath Mode 	 should be turned by 	 on touch the display to activate Sabbath Mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until sb appears in the display
Sabbath Mode stop or deactivate 	 talks about 	 To turn Sabbath Mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds.
To turn Sabbath Mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks about 	 Sabbath Mode
To turn Sabbath Mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks about 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
Sabbath Mode 	 should be turned by 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
Ice and Water Dispenser Precaution 	 talks about 	 Keep children away from the dispenser.
Ice and Water Dispenser Precaution 	 talks about 	 Children may play with or damage the controls.
Ice and Water Dispenser Precaution 	 talks about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
Ice and Water Dispenser Precaution 	 talks about 	 The first ice and water dispensed may include particles or odor from the water supply line or the water tank.
Ice and Water Dispenser Precaution 	 talks about 	 Throw is also necessary if the refrigerator has not been used for a long time.
Ice and Water Dispenser Precaution 	 talks about 	 Dispense and throw away 2.5 gallons of water ( flush for approximately 5 minutes ) after installation.
Ice and Water Dispenser Precaution 	 talks about 	 Do not dispense 2.5 gallons of water continuously.
Ice and Water Dispenser Precaution 	 talks about 	 Press and release the dispenser pad for cycles of 30 seconds ON and 60 seconds OFF.
Ice and Water Dispenser Precaution 	 talks about 	 This is also necessary if the refrigerator has not been used for a long time.
Ice and Water Dispenser Precaution 	 talks about 	 If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center.
Ice and Water Dispenser Precaution 	 talks about 	 Never use a glass that is exceptionally narrow or deep.
Ice and Water Dispenser Precaution 	 talks about 	 Ice may jam in the ice passage and refrigerator performance may be affected.
Ice and Water Dispenser Precaution 	 talks about 	 When dispensing ice from the dispenser, do not use a fragile container.
Ice and Water Dispenser Precaution 	 talks about 	 the dispenser will not operate when either of the refrigerator doors is open.
Ice and Water Dispenser Precaution 	 talks about 	 If discolored ice is dispensed, check the water filter and water supply.
Ice and Water Dispenser Precaution 	 talks about 	 If the problem continues, contact an LG Electronics Customer Information Center.
Ice and Water Dispenser Precaution 	 talks about 	 Do not use the water or ice until the problem is corrected.
Ice and Water Dispenser Precaution 	 talks about 	 Dispense ice into a glass before filling a glass with water or other beverages.
Ice and Water Dispenser Precaution 	 talks about 	 Splashing may occur if ice is dispensed into a glass that already contains liquid.
Ice and Water Dispenser Precaution 	 talks about 	 Some dripping may occur after dispensing.
Ice and Water Dispenser Precaution 	 talks about 	 Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops.
Ice and Water Dispenser Precaution 	 talks about 	 Keep containers at an appropriate distance from the dispensers.
Ice and Water Dispenser Precaution 	 talks about 	 Tall, narrow glasses should be held far enough from the ice outlet to prevent
Keep children away from the dispenser. 	 paraphrase 	 children should be kept away from the dispenser
children should be kept away from the dispenser 	 talks about 	 children
children should be kept away from the dispenser 	 talks about 	 away from the dispenser
children 	 should be kept 	 away from the dispenser
Throw away the first bin full of ice ( about 140-160 cubes ) after installation. 	 paraphrase 	 the first bin full of ice about 140-160 cubes after installation should be thrown away
the first bin full of ice about 140-160 cubes after installation should be thrown away 	 talks about 	 the first bin full of ice about 140-160 cubes after installation
the first bin full of ice about 140-160 cubes after installation should be thrown away 	 talks about 	 away
the first bin full of ice about 140-160 cubes after installation 	 should be thrown 	 away
Throw is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 the refrigerator has not been used for a long time
Throw is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 Throw is also necessary
Throw is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 Throw is also necessary
Do not dispense 2.5 gallons of water continuously. 	 paraphrase 	 2.5 gallons of water should not be dispensed continuously
2.5 gallons of water should not be dispensed continuously 	 talks about 	 2.5 gallons of water
2.5 gallons of water should not be dispensed continuously 	 talks about 	 continuously
2.5 gallons of water 	 should not be dispensed 	 continuously
This is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 the refrigerator has not been used for a long time
This is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 This is also necessary
This is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 This is also necessary
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks about 	 ice or water dispenses unexpectedly
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks about 	 turn off the water supply and contact an LG Electronics Customer Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 Condition 	 ice or water dispenses unexpectedly
ice or water dispenses unexpectedly 	 Follows 	 turn off the water supply and contact an LG Electronics Customer Information Center
Never use a glass that is exceptionally narrow or deep. 	 talks about 	 is exceptionally narrow or deep
Never use a glass that is exceptionally narrow or deep. 	 talks about 	 Never use a glass
Never use a glass 	 that 	 is exceptionally narrow or deep
When dispensing ice from the dispenser, do not use a fragile container. 	 talks about 	 dispensing ice from the dispenser
When dispensing ice from the dispenser, do not use a fragile container. 	 talks about 	 do not use a fragile container
do not use a fragile container 	 Synchronous 	 dispensing ice from the dispenser
the dispenser will not operate when either of the refrigerator doors is open. 	 talks about 	 either of the refrigerator doors is open
the dispenser will not operate when either of the refrigerator doors is open. 	 talks about 	 the dispenser will not operate
the dispenser will not operate 	 Synchronous 	 either of the refrigerator doors is open
If discolored ice is dispensed, check the water filter and water supply. 	 talks about 	 discolored ice is dispensed
If discolored ice is dispensed, check the water filter and water supply. 	 talks about 	 check the water filter and water supply
check the water filter and water supply 	 Condition 	 discolored ice is dispensed
discolored ice is dispensed 	 Follows 	 check the water filter and water supply
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks about 	 the problem continues
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks about 	 contact an LG Electronics Customer Information Center
contact an LG Electronics Customer Information Center 	 Condition 	 the problem continues
the problem continues 	 Follows 	 contact an LG Electronics Customer Information Center
Do not use the water or ice until the problem is corrected. 	 talks about 	 the problem is corrected
Do not use the water or ice until the problem is corrected. 	 talks about 	 Do not use the water or ice
Do not use the water or ice 	 Precedence 	 the problem is corrected
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks about 	 ice is dispensed into a glass that already contains liquid
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks about 	 Splashing may occur
Splashing may occur 	 Condition 	 ice is dispensed into a glass that already contains liquid
ice is dispensed into a glass that already contains liquid 	 Follows 	 Splashing may occur
Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops. 	 paraphrase 	 the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 the cup
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup 	 should be held 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
Keep containers at an appropriate distance from the dispensers. 	 paraphrase 	 containers should be kept at an appropriate distance from the dispensers
containers should be kept at an appropriate distance from the dispensers 	 talks about 	 containers
containers should be kept at an appropriate distance from the dispensers 	 talks about 	 at an appropriate distance from the dispensers
containers 	 should be kept 	 at an appropriate distance from the dispensers
Never use a glass 	 paraphrase 	 a glass should not be used 
do not use a fragile container 	 paraphrase 	 a fragile container should not be used 
check the water filter and water supply 	 paraphrase 	 the water filter and water supply should be checked 
contact an LG Electronics Customer Information Center 	 paraphrase 	 an LG Electronics Customer Information Center should be contacted 
Do not use the water or ice 	 paraphrase 	 the water or ice should not be used 
ice is dispensed into a glass that already contains liquid 	 talks about 	 already contains liquid
ice is dispensed into a glass that already contains liquid 	 talks about 	 ice is dispensed into a glass
ice is dispensed into a glass 	 that 	 already contains liquid
Children may play with or damage the controls. 	 talks about 	 Children
Children may play with or damage the controls. 	 talks about 	 the controls
Children 	 damage 	 the controls
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks about 	 The first ice and water dispensed
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks about 	 particles or odor from the water supply line or the water tank
The first ice and water dispensed 	 may include 	 particles or odor from the water supply line or the water tank
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 Ice
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 may be affected
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 the ice passage
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 the refrigerator performance
Ice 	 may jam 	 may be affected
Ice 	 may jam in 	 the ice passage
Ice 	 may jam in the ice passage 	 may be affected
Ice 	 may jam may be affected in 	 the refrigerator performance
Some dripping may occur after dispensing. 	 talks about 	 Some dripping
Some dripping may occur after dispensing. 	 talks about 	 dispensing
Some dripping 	 may occur after 	 dispensing
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 a few seconds
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 the dispenser
the cup 	 should be held for 	 a few seconds
the cup 	 should be held after 	 dispensing to catch all of the drops
the cup 	 should be held beneath 	 the dispenser
containers should be kept at an appropriate distance from the dispensers 	 talks about 	 an appropriate distance from the dispensers
containers 	 should be kept at 	 an appropriate distance from the dispensers
Tall, narrow glasses should be held far enough from the ice outlet to prevent 	 talks about 	 narrow glasses
Tall, narrow glasses should be held far enough from the ice outlet to prevent 	 talks about 	 far enough from the ice outlet
Tall, narrow glasses should be held far enough from the ice outlet to prevent 	 talks about 	 prevent
narrow glasses 	 should be held 	 far enough from the ice outlet
narrow glasses 	 should be held to 	 prevent
the refrigerator has not been used for a long time 	 talks about 	 the refrigerator
the refrigerator has not been used for a long time 	 talks about 	 a long time
the refrigerator 	 has not been used for 	 a long time
Throw is also necessary 	 talks about 	 Throw
Throw is also necessary 	 talks about 	 also
Throw is also necessary 	 talks about 	 necessary
Throw 	 is necessary 	 also
Throw 	 is 	 necessary
This is also necessary 	 talks about 	 also
This is also necessary 	 talks about 	 necessary
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks about 	 Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks about 	 LG
Information Center 	 [is] Electronics Customer [of] 	 LG
either of the refrigerator doors is open 	 talks about 	 either of the refrigerator doors
either of the refrigerator doors is open 	 talks about 	 open
either of the refrigerator doors 	 is 	 open
an LG Electronics Customer Information Center should be contacted 	 talks about 	 Information Center
an LG Electronics Customer Information Center should be contacted 	 talks about 	 LG
ice is dispensed into a glass 	 talks about 	 ice
ice is dispensed into a glass 	 talks about 	 a glass
ice 	 is dispensed into 	 a glass
Ice and Water Dispenser use 	 talks about 	 Press the button for the desired dispenser mode on the dispenser control panel.
Ice and Water Dispenser use 	 talks about 	 The LED lights up when the desired dispenser mode is selected.
Ice and Water Dispenser use 	 talks about 	 Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice.
Press the button for the desired dispenser mode on the dispenser control panel. 	 paraphrase 	 the button should be pressed for the desired dispenser mode on the dispenser control panel
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks about 	 the button
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks about 	 for the desired dispenser mode on the dispenser control panel
the button 	 should be pressed 	 for the desired dispenser mode on the dispenser control panel
The LED lights up when the desired dispenser mode is selected. 	 talks about 	 the desired dispenser mode is selected
The LED lights up when the desired dispenser mode is selected. 	 talks about 	 The LED lights up
The LED lights up 	 Synchronous 	 the desired dispenser mode is selected
Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 the dispenser
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser 	 should be pressed 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks about 	 the desired dispenser mode on the dispenser control panel
the button 	 should be pressed for 	 the desired dispenser mode on the dispenser control panel
Ice and Water Dispenser lock information 	 talks about 	 Press and hold the Lock button for three seconds to lock Ice and Water Dispenser and all the control panel functions.
Ice and Water Dispenser lock information 	 talks about 	 Follow the same instructions to unlock.
Follow the same instructions to unlock. 	 paraphrase 	 the same instructions to unlock should be followed 
Ice and Water Outlet Clean information 	 talks about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily.
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks about 	 as the water outlet a or ice outlet b may get dirty easily
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth
Wipe the water outlet a or ice outlet b frequently with a clean , lint free cloth 	 paraphrase 	 the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 the water outlet a or ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 frequently with a clean, lint free cloth
the water outlet a or ice outlet b 	 should be wiped 	 frequently with a clean, lint free cloth
as the water outlet a or ice outlet b may get dirty easily 	 talks about 	 ice outlet b
as the water outlet a or ice outlet b may get dirty easily 	 talks about 	 dirty
ice outlet b 	 may get easily 	 dirty
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 frequently
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 a clean, lint free cloth
ice outlet b 	 should be wiped with a clean , lint free cloth 	 frequently
ice outlet b 	 should be wiped with 	 a clean, lint free cloth
Dispenser Tray Clean information 	 talks about 	 Wipe the entire area with a damp cloth.
Dispenser Tray Clean information 	 talks about 	 The dispenser tray may become wet easily due to spilled ice or water.
Wipe the entire area with a damp cloth. 	 paraphrase 	 the entire area should be wiped with a damp cloth
the entire area should be wiped with a damp cloth 	 talks about 	 the entire area
the entire area should be wiped with a damp cloth 	 talks about 	 with a damp cloth
the entire area 	 should be wiped 	 with a damp cloth
the entire area should be wiped with a damp cloth 	 talks about 	 a damp cloth
the entire area 	 should be wiped with 	 a damp cloth
The dispenser tray may become wet easily due to spilled ice or water. 	 talks about 	 The dispenser tray
The dispenser tray may become wet easily due to spilled ice or water. 	 talks about 	 wet easily due to spilled ice or water
The dispenser tray 	 may become 	 wet easily due to spilled ice or water
Ice Compartment Precaution 	 talks about 	 Keep hands and tools out of the Ice Compartment door and dispenser chute.
Ice Compartment Precaution 	 talks about 	 Failure to Keep hands and tools out of the Ice Compartment door and dispenser chute may result in damage or personal injury.
Ice Compartment Precaution 	 talks about 	 Keep the ice compartment door closed tightly.
Ice Compartment Precaution 	 talks about 	 If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment.
Ice Compartment Precaution 	 talks about 	 freeze could also cause the icemaker to stop producing ice.
Keep hands and tools out of the Ice Compartment door and dispenser chute. 	 paraphrase 	 hands and tools should be kept out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 hands and tools
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 out of the Ice Compartment door and dispenser chute
hands and tools 	 should be kept 	 out of the Ice Compartment door and dispenser chute
Keep the ice compartment door closed tightly. 	 paraphrase 	 the ice compartment door should be kept closed tightly
the ice compartment door should be kept closed tightly 	 talks about 	 the ice compartment door
