REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator.
Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 the dispenser switch
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch 	 should be pressed 	 with a glass or other container to dispense cubed ice, water or crushed ice
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks about 	 the buttons
the desired dispenser mode 	 should be selected from 	 the buttons
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 a glass or other container
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 dispense cubed ice, water or crushed ice
the dispenser switch 	 should be pressed with 	 a glass or other container
the dispenser switch 	 should be pressed with a glass or other container to 	 dispense cubed ice, water or crushed ice
sentence_list_21 	 talks about 	 Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store.
sentence_list_21 	 talks about 	 When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks about 	 on display in a retail store
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks about 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 Synchronous 	 on display in a retail store
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks about 	 activated
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks about 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 Synchronous 	 activated
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks about 	 the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks about 	 OFF is displayed on the control panel
OFF is displayed on the control panel 	 Conjunction 	 the display remains on for 20 seconds
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks about 	 Display Mode For Store Use
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks about 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks about 	 all cooling in the refrigerator sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the refrigerator sections to conserve energy
the display remains on for 20 seconds 	 talks about 	 the display
the display remains on for 20 seconds 	 talks about 	 20 seconds
OFF is displayed on the control panel 	 talks about 	 the control panel
sentence_list_22 	 talks about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
sentence_list_22 	 talks about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_22 	 talks about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks about 	 Display Mode For Store Use Only is deactivated
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks about 	 The control panel beeps and the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 that 	 Display Mode For Store Use Only is deactivated
Use the same procedure to activate Display Mode ( For Store Use Only ). 	 paraphrase 	 the same procedure should be used to activate Display Mode For Store Use Only
the same procedure should be used to activate Display Mode For Store Use Only 	 talks about 	 the same procedure
the same procedure should be used to activate Display Mode For Store Use Only 	 talks about 	 to activate Display Mode For Store Use Only
the same procedure 	 should be used 	 to activate Display Mode For Store Use Only
The control panel beeps and the temperature settings display to confirm 	 talks about 	 the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 talks about 	 The control panel beeps
The control panel beeps 	 Conjunction 	 the temperature settings display to confirm
the same procedure should be used to activate Display Mode For Store Use Only 	 talks about 	 activate Display Mode For Store Use Only
the same procedure 	 should be used to 	 activate Display Mode For Store Use Only
the temperature settings display to confirm 	 talks about 	 the temperature settings
the temperature settings display to confirm 	 talks about 	 confirm
the temperature settings 	 display to 	 confirm
sentence_list_23 	 talks about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
sentence_list_23 	 talks about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_23 	 talks about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
sentence_list_24 	 talks about 	 Sabbath Mode is only available on some models.
Sabbath Mode is only available on some models. 	 talks about 	 Sabbath Mode
Sabbath Mode is only available on some models. 	 talks about 	 some models
Sabbath Mode is only available on some models. 	 talks about 	 only available
Sabbath Mode 	 is only available on 	 some models
Sabbath Mode 	 is 	 only available
sentence_list_25 	 talks about 	 Sabbath Mode automatically turns off after 96 hours.
sentence_list_25 	 talks about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
sentence_list_25 	 talks about 	 Selecting Sabbath Mode automatically turns off the alarm functions.
sentence_list_25 	 talks about 	 The dispenser and InstaView are disabled in Sabbath Mode, on applicable models.
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks about 	 turned on
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks about 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode is maintained even after a power outage 	 Succession 	 turned on
Sabbath Mode automatically turns off after 96 hours. 	 talks about 	 Sabbath Mode
Sabbath Mode automatically turns off after 96 hours. 	 talks about 	 96 hours
Sabbath Mode 	 automatically turns off after 	 96 hours
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks about 	 Selecting Sabbath Mode
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks about 	 the alarm functions
Selecting Sabbath Mode 	 automatically turns off 	 the alarm functions
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 InstaView
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 Sabbath Mode
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 disabled
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks about 	 The dispenser
InstaView 	 are disabled in 	 Sabbath Mode
InstaView 	 are 	 disabled
The dispenser 	 are disabled in 	 Sabbath Mode
The dispenser 	 are 	 disabled
Sabbath Mode is maintained even after a power outage 	 talks about 	 Sabbath Mode
Sabbath Mode is maintained even after a power outage 	 talks about 	 even after a power outage
Sabbath Mode 	 is maintained 	 even after a power outage
sentence_list_27 	 talks about 	 The dispenser will not operate when either of the refrigerator doors is open.
sentence_list_27 	 talks about 	 If discolored ice is dispensed, check the water filter and water supply.
sentence_list_27 	 talks about 	 If the problem continues, contact an LG Electronics Customer Information Center.
sentence_list_27 	 talks about 	 Do not use the water or ice until the problem is corrected.
sentence_list_27 	 talks about 	 Dispense ice into a glass before filling a glass with water or other beverages.
sentence_list_27 	 talks about 	 Splashing may occur if ice is dispensed into a glass that already contains liquid.
sentence_list_27 	 talks about 	 Some dripping may occur after dispensing.
sentence_list_27 	 talks about 	 Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops.
sentence_list_27 	 talks about 	 Keep containers at an appropriate distance from the dispensers.
sentence_list_27 	 talks about 	 Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute.
sentence_list_27 	 talks about 	 A container with a very small opening should be held as close to the dispenser as possible to avoid spilling.
The dispenser will not operate when either of the refrigerator doors is open. 	 talks about 	 either of the refrigerator doors is open
The dispenser will not operate when either of the refrigerator doors is open. 	 talks about 	 The dispenser will not operate
The dispenser will not operate 	 Synchronous 	 either of the refrigerator doors is open
If discolored ice is dispensed, check the water filter and water supply. 	 talks about 	 discolored ice is dispensed
If discolored ice is dispensed, check the water filter and water supply. 	 talks about 	 check the water filter and water supply
check the water filter and water supply 	 Condition 	 discolored ice is dispensed
discolored ice is dispensed 	 Follows 	 check the water filter and water supply
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks about 	 the problem continues
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks about 	 contact an LG Electronics Customer Information Center
contact an LG Electronics Customer Information Center 	 Condition 	 the problem continues
the problem continues 	 Follows 	 contact an LG Electronics Customer Information Center
Do not use the water or ice until the problem is corrected. 	 talks about 	 the problem is corrected
Do not use the water or ice until the problem is corrected. 	 talks about 	 Do not use the water or ice
Do not use the water or ice 	 Precedence 	 the problem is corrected
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks about 	 ice is dispensed into a glass that already contains liquid
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks about 	 Splashing may occur
Splashing may occur 	 Condition 	 ice is dispensed into a glass that already contains liquid
ice is dispensed into a glass that already contains liquid 	 Follows 	 Splashing may occur
Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops. 	 paraphrase 	 the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 the cup
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup 	 should be held 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
Keep containers at an appropriate distance from the dispensers. 	 paraphrase 	 containers should be kept at an appropriate distance from the dispensers
containers should be kept at an appropriate distance from the dispensers 	 talks about 	 containers
containers should be kept at an appropriate distance from the dispensers 	 talks about 	 at an appropriate distance from the dispensers
containers 	 should be kept 	 at an appropriate distance from the dispensers
check the water filter and water supply 	 paraphrase 	 the water filter and water supply should be checked 
contact an LG Electronics Customer Information Center 	 paraphrase 	 an LG Electronics Customer Information Center should be contacted 
Do not use the water or ice 	 paraphrase 	 the water or ice should not be used 
ice is dispensed into a glass that already contains liquid 	 talks about 	 already contains liquid
ice is dispensed into a glass that already contains liquid 	 talks about 	 ice is dispensed into a glass
ice is dispensed into a glass 	 that 	 already contains liquid
Some dripping may occur after dispensing. 	 talks about 	 Some dripping
Some dripping may occur after dispensing. 	 talks about 	 dispensing
Some dripping 	 may occur after 	 dispensing
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 a few seconds
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks about 	 the dispenser
the cup 	 should be held after 	 dispensing to catch all of the drops
the cup 	 should be held for 	 a few seconds
the cup 	 should be held beneath 	 the dispenser
containers should be kept at an appropriate distance from the dispensers 	 talks about 	 an appropriate distance from the dispensers
containers 	 should be kept at 	 an appropriate distance from the dispensers
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks about 	 narrow glasses
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks about 	 far enough from the ice outlet
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks about 	 prevent ice from jamming in the ice chute
narrow glasses 	 should be held 	 far enough from the ice outlet
narrow glasses 	 should be held to 	 prevent ice from jamming in the ice chute
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks about 	 A container with a very small opening
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks about 	 avoid spilling
A container with a very small opening 	 should be held to 	 avoid spilling
either of the refrigerator doors is open 	 talks about 	 either of the refrigerator doors
either of the refrigerator doors is open 	 talks about 	 open
either of the refrigerator doors 	 is 	 open
an LG Electronics Customer Information Center should be contacted 	 talks about 	 Information Center
an LG Electronics Customer Information Center should be contacted 	 talks about 	 LG
Information Center 	 [is] Electronics Customer [of] 	 LG
ice is dispensed into a glass 	 talks about 	 ice
ice is dispensed into a glass 	 talks about 	 a glass
ice 	 is dispensed into 	 a glass
sentence_list_28 	 talks about 	 Keep children away from the dispenser.
sentence_list_28 	 talks about 	 Children may play with or damage the controls.
sentence_list_28 	 talks about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
sentence_list_28 	 talks about 	 The first ice and water dispensed may include particles or odor from the water supply line or the water tank.
sentence_list_28 	 talks about 	 This is also necessary if the refrigerator has not been used for a long time.
sentence_list_28 	 talks about 	 Dispense and throw away 2.5 gallons of water ( flush for approximately 5 minutes ) after installation.
sentence_list_28 	 talks about 	 Do not dispense 2.5 gallons of water continuously.
sentence_list_28 	 talks about 	 Press and release the dispenser pad for cycles of 30 seconds ON and 60 seconds OFF.
sentence_list_28 	 talks about 	 If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center.
sentence_list_28 	 talks about 	 Never use a glass that is exceptionally narrow or deep.
sentence_list_28 	 talks about 	 Ice may jam in the ice passage and refrigerator performance may be affected.
sentence_list_28 	 talks about 	 When dispensing ice from the dispenser, do not use a fragile container.
Keep children away from the dispenser. 	 paraphrase 	 children should be kept away from the dispenser
children should be kept away from the dispenser 	 talks about 	 children
children should be kept away from the dispenser 	 talks about 	 away from the dispenser
children 	 should be kept 	 away from the dispenser
Throw away the first bin full of ice ( about 140-160 cubes ) after installation. 	 paraphrase 	 the first bin full of ice about 140-160 cubes after installation should be thrown away
the first bin full of ice about 140-160 cubes after installation should be thrown away 	 talks about 	 the first bin full of ice about 140-160 cubes after installation
the first bin full of ice about 140-160 cubes after installation should be thrown away 	 talks about 	 away
the first bin full of ice about 140-160 cubes after installation 	 should be thrown 	 away
This is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 the refrigerator has not been used for a long time
This is also necessary if the refrigerator has not been used for a long time. 	 talks about 	 This is also necessary
This is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 This is also necessary
Do not dispense 2.5 gallons of water continuously. 	 paraphrase 	 2.5 gallons of water should not be dispensed continuously
2.5 gallons of water should not be dispensed continuously 	 talks about 	 2.5 gallons of water
2.5 gallons of water should not be dispensed continuously 	 talks about 	 continuously
2.5 gallons of water 	 should not be dispensed 	 continuously
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks about 	 ice or water dispenses unexpectedly
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks about 	 turn off the water supply and contact an LG Electronics Customer Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 Condition 	 ice or water dispenses unexpectedly
ice or water dispenses unexpectedly 	 Follows 	 turn off the water supply and contact an LG Electronics Customer Information Center
Never use a glass that is exceptionally narrow or deep. 	 talks about 	 is exceptionally narrow or deep
Never use a glass that is exceptionally narrow or deep. 	 talks about 	 Never use a glass
Never use a glass 	 that 	 is exceptionally narrow or deep
When dispensing ice from the dispenser, do not use a fragile container. 	 talks about 	 dispensing ice from the dispenser
When dispensing ice from the dispenser, do not use a fragile container. 	 talks about 	 do not use a fragile container
do not use a fragile container 	 Synchronous 	 dispensing ice from the dispenser
Never use a glass 	 paraphrase 	 a glass should not be used 
do not use a fragile container 	 paraphrase 	 a fragile container should not be used 
Children may play with or damage the controls. 	 talks about 	 Children
Children may play with or damage the controls. 	 talks about 	 the controls
Children 	 damage 	 the controls
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks about 	 The first ice and water dispensed
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks about 	 particles or odor from the water supply line or the water tank
The first ice and water dispensed 	 may include 	 particles or odor from the water supply line or the water tank
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 Ice
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 may be affected
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 the ice passage
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks about 	 the refrigerator performance
Ice 	 may jam 	 may be affected
Ice 	 may jam in 	 the ice passage
Ice 	 may jam in the ice passage 	 may be affected
Ice 	 may jam may be affected in 	 the refrigerator performance
the refrigerator has not been used for a long time 	 talks about 	 the refrigerator
the refrigerator has not been used for a long time 	 talks about 	 a long time
the refrigerator 	 has not been used for 	 a long time
This is also necessary 	 talks about 	 necessary
This is also necessary 	 talks about 	 also
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks about 	 Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks about 	 LG
sentence_list_29 	 talks about 	 Press the button for the desired dispenser mode on the dispenser control panel.
sentence_list_29 	 talks about 	 The LED lights up when the desired dispenser mode is selected.
sentence_list_29 	 talks about 	 Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice.
Press the button for the desired dispenser mode on the dispenser control panel. 	 paraphrase 	 the button should be pressed for the desired dispenser mode on the dispenser control panel
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks about 	 the button
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks about 	 for the desired dispenser mode on the dispenser control panel
the button 	 should be pressed 	 for the desired dispenser mode on the dispenser control panel
The LED lights up when the desired dispenser mode is selected. 	 talks about 	 the desired dispenser mode is selected
The LED lights up when the desired dispenser mode is selected. 	 talks about 	 The LED lights up
The LED lights up 	 Synchronous 	 the desired dispenser mode is selected
Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 the dispenser
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks about 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser 	 should be pressed 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks about 	 the desired dispenser mode on the dispenser control panel
the button 	 should be pressed for 	 the desired dispenser mode on the dispenser control panel
sentence_list_30 	 talks about 	 Press and hold the Lock button for three seconds to lock Ice and Water Dispenser and all the control panel functions.
sentence_list_30 	 talks about 	 Follow the same instructions to unlock.
Follow the same instructions to unlock. 	 paraphrase 	 the same instructions to unlock should be followed 
sentence_list_31 	 talks about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily.
sentence_list_31 	 talks about 	 Lint from a cloth may adhere to Ice and Water Outlet.
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks about 	 as the water outlet a or ice outlet b may get dirty easily
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth
Wipe the water outlet a or ice outlet b frequently with a clean , lint free cloth 	 paraphrase 	 the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 the water outlet a or ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 frequently with a clean, lint free cloth
the water outlet a or ice outlet b 	 should be wiped 	 frequently with a clean, lint free cloth
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks about 	 Lint from a cloth
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks about 	 Water Outlet
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks about 	 Ice
Lint from a cloth 	 may adhere to 	 Water Outlet
Lint from a cloth 	 may adhere to 	 Ice
as the water outlet a or ice outlet b may get dirty easily 	 talks about 	 ice outlet b
as the water outlet a or ice outlet b may get dirty easily 	 talks about 	 dirty
ice outlet b 	 may get easily 	 dirty
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 a clean, lint free cloth
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks about 	 frequently
ice outlet b 	 should be wiped with 	 a clean, lint free cloth
ice outlet b 	 should be wiped with a clean , lint free cloth 	 frequently
sentence_list_32 	 talks about 	 Wipe the entire area with a damp cloth.
sentence_list_32 	 talks about 	 The dispenser tray may become wet easily due to spilled ice or water.
Wipe the entire area with a damp cloth. 	 paraphrase 	 the entire area should be wiped with a damp cloth
the entire area should be wiped with a damp cloth 	 talks about 	 the entire area
the entire area should be wiped with a damp cloth 	 talks about 	 with a damp cloth
the entire area 	 should be wiped 	 with a damp cloth
the entire area should be wiped with a damp cloth 	 talks about 	 a damp cloth
the entire area 	 should be wiped with 	 a damp cloth
The dispenser tray may become wet easily due to spilled ice or water. 	 talks about 	 The dispenser tray
The dispenser tray may become wet easily due to spilled ice or water. 	 talks about 	 wet easily due to spilled ice or water
The dispenser tray 	 may become 	 wet easily due to spilled ice or water
sentence_list_33 	 talks about 	 Keep the ice compartment door closed tightly.
sentence_list_33 	 talks about 	 If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment.
sentence_list_33 	 talks about 	 This could also cause the icemaker to stop producing ice.
Keep the ice compartment door closed tightly. 	 paraphrase 	 the ice compartment door should be kept closed tightly
the ice compartment door should be kept closed tightly 	 talks about 	 the ice compartment door
the ice compartment door should be kept closed tightly 	 talks about 	 closed tightly
the ice compartment door 	 should be kept 	 closed tightly
If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. 	 talks about 	 the ice compartment door is not closed tightly
If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. 	 talks about 	 the cold air in the ice bin will freeze food in the refrigerator compartment
the cold air in the ice bin will freeze food in the refrigerator compartment 	 Condition 	 the ice compartment door is not closed tightly
the ice compartment door is not closed tightly 	 Follows 	 the cold air in the ice bin will freeze food in the refrigerator compartment
This could also cause the icemaker to stop producing ice. 	 talks about 	 the icemaker to stop producing ice
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks about 	 the cold air in the ice bin
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks about 	 the refrigerator compartment
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks about 	 food
the cold air in the ice bin 	 will freeze food in 	 the refrigerator compartment
the cold air in the ice bin 	 will freeze 	 food
sentence_list_34 	 talks about 	 Keep hands and tools out of the Ice Compartment door and dispenser chute.
sentence_list_34 	 talks about 	 Failure to do so may result in damage or personal injury.
Keep hands and tools out of the Ice Compartment door and dispenser chute. 	 paraphrase 	 hands and tools should be kept out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 hands and tools
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 out of the Ice Compartment door and dispenser chute
hands and tools 	 should be kept 	 out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 tools
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 of the Ice Compartment door chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 of the dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks about 	 hands
tools 	 should be kept out 	 of the Ice Compartment door chute
tools 	 should be kept out 	 of the dispenser chute
hands 	 should be kept out 	 of the dispenser chute
hands 	 should be kept out 	 of the Ice Compartment door chute
Failure to do so may result in damage or personal injury. 	 talks about 	 Failure to do so
Failure to do so may result in damage or personal injury. 	 talks about 	 damage or personal injury
Failure to do so 	 may result in 	 damage or personal injury
sentence_list_35 	 talks about 	 The icemaker stops producing ice when In-Door Ice Bin is full.
sentence_list_35 	 talks about 	 To make room for additional ice, empty In-Door Ice Bin into the extra ice bin in the freezer compartment.
To make room for additional ice, empty In-Door Ice Bin into the extra ice bin in the freezer compartment. 	 talks about 	 Door Ice Bin
To make room for additional ice, empty In-Door Ice Bin into the extra ice bin in the freezer compartment. 	 talks about 	 for empty In-into the extra ice bin in the freezer compartment
Door Ice Bin 	 should be made by 	 for empty In-into the extra ice bin in the freezer compartment
sentence_list_35 	 talks about 	 During use, the ice may stack unevenly in In-Door Ice Bin, causing The icemaker to misread the number of ice cubes and stop producing ice.
sentence_list_35 	 talks about 	 Shaking In-Door Ice Bin to level the ice within In-Door Ice Bin can reduce this problem.
sentence_list_35 	 talks about 	 If The icemaker is turned OFF for an extended period of time, the ice compartment will gradually warm up to the temperature of the refrigerator compartment.
sentence_list_35 	 talks about 	 To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours.
To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours. 	 talks about 	 Door Ice Bin
To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours. 	 talks about 	 from melting and leaking from the dispenser ALWAYS empty In-when The icemaker is turned OFF for more than a few hours
Door Ice Bin 	 should be prevented by 	 from melting and leaking from the dispenser ALWAYS empty In-when The icemaker is turned OFF for more than a few hours
sentence_list_35 	 talks about 	 The ice passage may become blocked with frost if only crushed ice is used.
sentence_list_35 	 talks about 	 Remove frost by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula.
sentence_list_35 	 talks about 	 Dispensing cubed ice can also help prevent frost buildup.
The icemaker stops producing ice when In-Door Ice Bin is full. 	 talks about 	 In-Door Ice Bin is full
The icemaker stops producing ice when In-Door Ice Bin is full. 	 talks about 	 The icemaker stops producing ice
The icemaker stops producing ice 	 Synchronous 	 In-Door Ice Bin is full
If The icemaker is turned OFF for an extended period of time, the ice compartment will gradually warm up to the temperature of the refrigerator compartment. 	 talks about 	 The icemaker is turned OFF for an extended period of time
If The icemaker is turned OFF for an extended period of time, the ice compartment will gradually warm up to the temperature of the refrigerator compartment. 	 talks about 	 the ice compartment will gradually warm up to the temperature of the refrigerator compartment
the ice compartment will gradually warm up to the temperature of the refrigerator compartment 	 Condition 	 The icemaker is turned OFF for an extended period of time
The icemaker is turned OFF for an extended period of time 	 Follows 	 the ice compartment will gradually warm up to the temperature of the refrigerator compartment
The ice passage may become blocked with frost if only crushed ice is used. 	 talks about 	 only crushed ice is used
The ice passage may become blocked with frost if only crushed ice is used. 	 talks about 	 The ice passage may become blocked with frost
The ice passage may become blocked with frost 	 Condition 	 only crushed ice is used
only crushed ice is used 	 Follows 	 The ice passage may become blocked with frost
Remove frost by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula. 	 paraphrase 	 frost should be removed by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula
frost should be removed by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula 	 talks about 	 frost
frost should be removed by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula 	 talks about 	 by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula
frost 	 should be removed 	 by removing In-Door Ice Bin and clearing The ice passage with a rubber spatula
During use, the ice may stack unevenly in In-Door Ice Bin, causing The icemaker to misread the number of ice cubes and stop producing ice. 	 talks about 	 the ice
During use, the ice may stack unevenly in In-Door Ice Bin, causing The icemaker to misread the number of ice cubes and stop producing ice. 	 talks about 	 causing The icemaker to stop producing ice
During use, the ice may stack unevenly in In-Door Ice Bin, causing The icemaker to misread the number of ice cubes and stop producing ice. 	 talks about 	 causing The icemaker to misread the number of ice cubes
During use, the ice may stack unevenly in In-Door Ice Bin, causing The icemaker to misread the number of ice cubes and stop producing ice. 	 talks about 	 use
