REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
sentence_list_19 	 talks_about 	 Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice.
Select the desired dispenser mode from the buttons on the dispenser control panel. 	 paraphrase 	 the desired dispenser mode should be selected from the buttons on the dispenser control panel
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks_about 	 the desired dispenser mode
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks_about 	 from the buttons on the dispenser control panel
the desired dispenser mode 	 should_be_selected 	 from the buttons on the dispenser control panel
Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 the dispenser switch
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch 	 should_be_pressed 	 with a glass or other container to dispense cubed ice, water or crushed ice
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks_about 	 the buttons
the desired dispenser mode 	 should_be_selected_from 	 the buttons
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 a glass or other container
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 dispense cubed ice, water or crushed ice
the dispenser switch 	 should_be_pressed_with 	 a glass or other container
the dispenser switch 	 should_be_pressed_with_a_glass_or_other_container_to 	 dispense cubed ice, water or crushed ice
sentence_list_20 	 talks_about 	 Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store.
sentence_list_20 	 talks_about 	 When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 on display in a retail store
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 Synchronous 	 on display in a retail store
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 activated
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 Synchronous 	 activated
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 OFF is displayed on the control panel
OFF is displayed on the control panel 	 Conjunction 	 the display remains on for 20 seconds
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 Display Mode For Store Use
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the refrigerator sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the refrigerator sections to conserve energy
the display remains on for 20 seconds 	 talks_about 	 the display
the display remains on for 20 seconds 	 talks_about 	 20 seconds
OFF is displayed on the control panel 	 talks_about 	 the control panel
sentence_list_21 	 talks_about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
sentence_list_21 	 talks_about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_21 	 talks_about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 Display Mode For Store Use Only is deactivated
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 The control panel beeps and the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 that 	 Display Mode For Store Use Only is deactivated
Use the same procedure to activate Display Mode ( For Store Use Only ). 	 paraphrase 	 the same procedure should be used to activate Display Mode For Store Use Only
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 the same procedure
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 to activate Display Mode For Store Use Only
the same procedure 	 should_be_used 	 to activate Display Mode For Store Use Only
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 The control panel beeps
The control panel beeps 	 Conjunction 	 the temperature settings display to confirm
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 activate Display Mode For Store Use Only
the same procedure 	 should_be_used_to 	 activate Display Mode For Store Use Only
the temperature settings display to confirm 	 talks_about 	 the temperature settings
the temperature settings display to confirm 	 talks_about 	 confirm
the temperature settings 	 display_to 	 confirm
sentence_list_22 	 talks_about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
sentence_list_22 	 talks_about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_22 	 talks_about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
sentence_list_23 	 talks_about 	 Sabbath Mode is only available on some models.
Sabbath Mode is only available on some models. 	 talks_about 	 Sabbath Mode
Sabbath Mode is only available on some models. 	 talks_about 	 only available
Sabbath Mode is only available on some models. 	 talks_about 	 some models
Sabbath Mode 	 is 	 only available
Sabbath Mode 	 is_only_available_on 	 some models
sentence_list_24 	 talks_about 	 Sabbath Mode automatically turns off after 96 hours.
sentence_list_24 	 talks_about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
sentence_list_24 	 talks_about 	 Selecting Sabbath Mode automatically turns off the alarm functions.
sentence_list_24 	 talks_about 	 The dispenser and InstaView are disabled in Sabbath Mode, on applicable models.
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 turned on
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode is maintained even after a power outage 	 Succession 	 turned on
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 Sabbath Mode
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 96 hours
Sabbath Mode 	 automatically_turns_off_after 	 96 hours
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks_about 	 Selecting Sabbath Mode
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks_about 	 the alarm functions
Selecting Sabbath Mode 	 automatically_turns_off 	 the alarm functions
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 The dispenser
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 disabled
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 InstaView
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 Sabbath Mode
The dispenser 	 are 	 disabled
InstaView 	 are_disabled_in 	 Sabbath Mode
InstaView 	 are 	 disabled
The dispenser 	 are_disabled_in 	 Sabbath Mode
Sabbath Mode is maintained even after a power outage 	 talks_about 	 Sabbath Mode
Sabbath Mode is maintained even after a power outage 	 talks_about 	 even after a power outage
Sabbath Mode 	 is_maintained 	 even after a power outage
sentence_list_25 	 talks_about 	 To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display.
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display. 	 talks_about 	 Sabbath mode
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display. 	 talks_about 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display
Sabbath mode 	 should_be_turned_by 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display
sentence_list_25 	 talks_about 	 To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds.
To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks_about 	 Sabbath mode
To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks_about 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
Sabbath mode 	 should_be_turned_by 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
sentence_list_26 	 talks_about 	 The dispenser will not operate when either of the refrigerator doors is open.
sentence_list_26 	 talks_about 	 If discolored ice is dispensed, check the water filter and water supply.
sentence_list_26 	 talks_about 	 If the problem continues, contact an LG Electronics Customer Information Center.
sentence_list_26 	 talks_about 	 Do not use the water or ice until the problem is corrected.
sentence_list_26 	 talks_about 	 Dispense ice into a glass before filling a glass with water or other beverages.
sentence_list_26 	 talks_about 	 Splashing may occur if ice is dispensed into a glass that already contains liquid.
sentence_list_26 	 talks_about 	 Some dripping may occur after dispensing.
sentence_list_26 	 talks_about 	 Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops.
sentence_list_26 	 talks_about 	 Keep containers at an appropriate distance from the dispensers.
sentence_list_26 	 talks_about 	 Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute.
sentence_list_26 	 talks_about 	 A container with a very small opening should be held as close to the dispenser as possible to avoid spilling.
The dispenser will not operate when either of the refrigerator doors is open. 	 talks_about 	 either of the refrigerator doors is open
The dispenser will not operate when either of the refrigerator doors is open. 	 talks_about 	 The dispenser will not operate
The dispenser will not operate 	 Synchronous 	 either of the refrigerator doors is open
If discolored ice is dispensed, check the water filter and water supply. 	 talks_about 	 discolored ice is dispensed
If discolored ice is dispensed, check the water filter and water supply. 	 talks_about 	 check the water filter and water supply
check the water filter and water supply 	 Condition 	 discolored ice is dispensed
discolored ice is dispensed 	 Follows 	 check the water filter and water supply
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks_about 	 the problem continues
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks_about 	 contact an LG Electronics Customer Information Center
contact an LG Electronics Customer Information Center 	 Condition 	 the problem continues
the problem continues 	 Follows 	 contact an LG Electronics Customer Information Center
Do not use the water or ice until the problem is corrected. 	 talks_about 	 the problem is corrected
Do not use the water or ice until the problem is corrected. 	 talks_about 	 Do not use the water or ice
Do not use the water or ice 	 Precedence 	 the problem is corrected
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks_about 	 ice is dispensed into a glass that already contains liquid
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks_about 	 Splashing may occur
Splashing may occur 	 Condition 	 ice is dispensed into a glass that already contains liquid
ice is dispensed into a glass that already contains liquid 	 Follows 	 Splashing may occur
Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops. 	 paraphrase 	 the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 the cup
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup 	 should_be_held 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
Keep containers at an appropriate distance from the dispensers. 	 paraphrase 	 containers should be kept at an appropriate distance from the dispensers
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 containers
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 at an appropriate distance from the dispensers
containers 	 should_be_kept 	 at an appropriate distance from the dispensers
check the water filter and water supply 	 paraphrase 	 the water filter and water supply should be checked 
contact an LG Electronics Customer Information Center 	 paraphrase 	 an LG Electronics Customer Information Center should be contacted 
Do not use the water or ice 	 paraphrase 	 the water or ice should not be used 
ice is dispensed into a glass that already contains liquid 	 talks_about 	 already contains liquid
ice is dispensed into a glass that already contains liquid 	 talks_about 	 ice is dispensed into a glass
ice is dispensed into a glass 	 that 	 already contains liquid
Some dripping may occur after dispensing. 	 talks_about 	 Some dripping
Some dripping may occur after dispensing. 	 talks_about 	 dispensing
Some dripping 	 may_occur_after 	 dispensing
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 the dispenser
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 a few seconds
the cup 	 should_be_held_beneath 	 the dispenser
the cup 	 should_be_held_after 	 dispensing to catch all of the drops
the cup 	 should_be_held_for 	 a few seconds
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 an appropriate distance from the dispensers
containers 	 should_be_kept_at 	 an appropriate distance from the dispensers
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 narrow glasses
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 far enough from the ice outlet
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 prevent ice from jamming in the ice chute
narrow glasses 	 should_be_held 	 far enough from the ice outlet
narrow glasses 	 should_be_held_to 	 prevent ice from jamming in the ice chute
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks_about 	 A container with a very small opening
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks_about 	 avoid spilling
A container with a very small opening 	 should_be_held_to 	 avoid spilling
either of the refrigerator doors is open 	 talks_about 	 either of the refrigerator doors
an LG Electronics Customer Information Center should be contacted 	 talks_about 	 Information Center
an LG Electronics Customer Information Center should be contacted 	 talks_about 	 LG
Information Center 	 [is]_Electronics_Customer_[of] 	 LG
ice is dispensed into a glass 	 talks_about 	 ice
ice is dispensed into a glass 	 talks_about 	 a glass
ice 	 is_dispensed_into 	 a glass
sentence_list_27 	 talks_about 	 Keep children away from the dispenser.
sentence_list_27 	 talks_about 	 Children may play with or damage the controls.
sentence_list_27 	 talks_about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
sentence_list_27 	 talks_about 	 The first ice and water dispensed may include particles or odor from the water supply line or the water tank.
sentence_list_27 	 talks_about 	 This is also necessary if the refrigerator has not been used for a long time.
sentence_list_27 	 talks_about 	 Dispense and throw away 2.5 gallons of water ( flush for approximately 5 minutes ) after installation.
sentence_list_27 	 talks_about 	 Do not dispense 2.5 gallons of water continuously.
sentence_list_27 	 talks_about 	 Press and release the dispenser pad for cycles of 30 seconds ON and 60 seconds OFF.
sentence_list_27 	 talks_about 	 If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center.
sentence_list_27 	 talks_about 	 Never use a glass that is exceptionally narrow or deep.
sentence_list_27 	 talks_about 	 Ice may jam in the ice passage and refrigerator performance may be affected.
sentence_list_27 	 talks_about 	 When dispensing ice from the dispenser, do not use a fragile container.
Keep children away from the dispenser. 	 paraphrase 	 children should be kept away from the dispenser
children should be kept away from the dispenser 	 talks_about 	 children
children should be kept away from the dispenser 	 talks_about 	 away from the dispenser
children 	 should_be_kept 	 away from the dispenser
Throw away the first bin full of ice ( about 140-160 cubes ) after installation. 	 paraphrase 	 the first bin full of ice about 140-160 cubes should be thrown away after installation
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 the first bin full of ice about 140-160 cubes
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 away after installation
the first bin full of ice about 140-160 cubes 	 should_be_thrown 	 away after installation
This is also necessary if the refrigerator has not been used for a long time. 	 talks_about 	 the refrigerator has not been used for a long time
This is also necessary if the refrigerator has not been used for a long time. 	 talks_about 	 This is also necessary
This is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 This is also necessary
Do not dispense 2.5 gallons of water continuously. 	 paraphrase 	 2.5 gallons of water should not be dispensed continuously
2.5 gallons of water should not be dispensed continuously 	 talks_about 	 2.5 gallons of water
2.5 gallons of water should not be dispensed continuously 	 talks_about 	 continuously
2.5 gallons of water 	 should_not_be_dispensed 	 continuously
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks_about 	 ice or water dispenses unexpectedly
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks_about 	 turn off the water supply and contact an LG Electronics Customer Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 Condition 	 ice or water dispenses unexpectedly
ice or water dispenses unexpectedly 	 Follows 	 turn off the water supply and contact an LG Electronics Customer Information Center
Never use a glass that is exceptionally narrow or deep. 	 talks_about 	 is exceptionally narrow or deep
Never use a glass that is exceptionally narrow or deep. 	 talks_about 	 Never use a glass
Never use a glass 	 that 	 is exceptionally narrow or deep
When dispensing ice from the dispenser, do not use a fragile container. 	 talks_about 	 dispensing ice from the dispenser
When dispensing ice from the dispenser, do not use a fragile container. 	 talks_about 	 do not use a fragile container
do not use a fragile container 	 Synchronous 	 dispensing ice from the dispenser
Never use a glass 	 paraphrase 	 a glass should not be used 
do not use a fragile container 	 paraphrase 	 a fragile container should not be used 
Children may play with or damage the controls. 	 talks_about 	 Children
Children may play with or damage the controls. 	 talks_about 	 the controls
Children 	 damage 	 the controls
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 installation
the first bin full of ice about 140-160 cubes 	 should_be_thrown_away_after 	 installation
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks_about 	 The first ice and water dispensed
The first ice and water dispensed may include particles or odor from the water supply line or the water tank. 	 talks_about 	 particles or odor from the water supply line or the water tank
The first ice and water dispensed 	 may_include 	 particles or odor from the water supply line or the water tank
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 Ice
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 the refrigerator performance
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 may be affected
Ice may jam in the ice passage and refrigerator performance may be affected. 	 talks_about 	 the ice passage
Ice 	 may_jam_may_be_affected_in 	 the refrigerator performance
Ice 	 may_jam 	 may be affected
Ice 	 may_jam_in 	 the ice passage
Ice 	 may_jam_in_the_ice_passage 	 may be affected
the refrigerator has not been used for a long time 	 talks_about 	 the refrigerator
the refrigerator has not been used for a long time 	 talks_about 	 a long time
the refrigerator 	 has_not_been_used_for 	 a long time
This is also necessary 	 talks_about 	 also
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks_about 	 Information Center
turn off the water supply and contact an LG Electronics Customer Information Center 	 talks_about 	 LG
sentence_list_28 	 talks_about 	 Press the button for the desired dispenser mode on the dispenser control panel.
sentence_list_28 	 talks_about 	 The LED lights up when the desired dispenser mode is selected.
sentence_list_28 	 talks_about 	 Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice.
Press the button for the desired dispenser mode on the dispenser control panel. 	 paraphrase 	 the button should be pressed for the desired dispenser mode on the dispenser control panel
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks_about 	 the button
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks_about 	 for the desired dispenser mode on the dispenser control panel
the button 	 should_be_pressed 	 for the desired dispenser mode on the dispenser control panel
The LED lights up when the desired dispenser mode is selected. 	 talks_about 	 the desired dispenser mode is selected
The LED lights up when the desired dispenser mode is selected. 	 talks_about 	 The LED lights up
The LED lights up 	 Synchronous 	 the desired dispenser mode is selected
Press the dispenser paddle a with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 the dispenser
the dispenser should be pressed paddle with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser 	 should_be_pressed 	 paddle with a glass or other container to dispense cubed ice, water or crushed ice
the button should be pressed for the desired dispenser mode on the dispenser control panel 	 talks_about 	 the desired dispenser mode on the dispenser control panel
the button 	 should_be_pressed_for 	 the desired dispenser mode on the dispenser control panel
sentence_list_29 	 talks_about 	 Press and hold the Lock button for three seconds to lock Ice and Water Dispenser and all the control panel functions.
sentence_list_29 	 talks_about 	 Follow the same instructions to unlock.
Follow the same instructions to unlock. 	 paraphrase 	 the same instructions to unlock should be followed 
sentence_list_30 	 talks_about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily.
sentence_list_30 	 talks_about 	 Lint from a cloth may adhere to Ice and Water Outlet.
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks_about 	 as the water outlet a or ice outlet b may get dirty easily
Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth as the water outlet a or ice outlet b may get dirty easily. 	 talks_about 	 Wipe the water outlet a or ice outlet b frequently with a clean, lint free cloth
Wipe the water outlet a or ice outlet b frequently with a clean , lint free cloth 	 paraphrase 	 the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 the water outlet a or ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 frequently with a clean, lint free cloth
the water outlet a or ice outlet b 	 should_be_wiped 	 frequently with a clean, lint free cloth
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks_about 	 Lint from a cloth
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks_about 	 Ice
Lint from a cloth may adhere to Ice and Water Outlet. 	 talks_about 	 Water Outlet
Lint from a cloth 	 may_adhere_to 	 Ice
Lint from a cloth 	 may_adhere_to 	 Water Outlet
as the water outlet a or ice outlet b may get dirty easily 	 talks_about 	 ice outlet b
as the water outlet a or ice outlet b may get dirty easily 	 talks_about 	 dirty
ice outlet b 	 may_get_easily 	 dirty
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 ice outlet b
the water outlet a or ice outlet b should be wiped frequently with a clean, lint free cloth 	 talks_about 	 a clean, lint free cloth
ice outlet b 	 should_be_wiped_with 	 a clean, lint free cloth
sentence_list_31 	 talks_about 	 Wipe the entire area with a damp cloth.
sentence_list_31 	 talks_about 	 The dispenser tray may become wet easily due to spilled ice or water.
Wipe the entire area with a damp cloth. 	 paraphrase 	 the entire area should be wiped with a damp cloth
the entire area should be wiped with a damp cloth 	 talks_about 	 the entire area
the entire area should be wiped with a damp cloth 	 talks_about 	 with a damp cloth
the entire area 	 should_be_wiped 	 with a damp cloth
the entire area should be wiped with a damp cloth 	 talks_about 	 a damp cloth
the entire area 	 should_be_wiped_with 	 a damp cloth
The dispenser tray may become wet easily due to spilled ice or water. 	 talks_about 	 The dispenser tray
The dispenser tray may become wet easily due to spilled ice or water. 	 talks_about 	 wet easily due to spilled ice or water
The dispenser tray 	 may_become 	 wet easily due to spilled ice or water
sentence_list_32 	 talks_about 	 Keep the ice compartment door closed tightly.
sentence_list_32 	 talks_about 	 If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment.
sentence_list_32 	 talks_about 	 This could also cause the icemaker to stop producing ice.
Keep the ice compartment door closed tightly. 	 paraphrase 	 the ice compartment door should be kept closed tightly
the ice compartment door should be kept closed tightly 	 talks_about 	 the ice compartment door
the ice compartment door should be kept closed tightly 	 talks_about 	 closed tightly
the ice compartment door 	 should_be_kept 	 closed tightly
If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. 	 talks_about 	 the ice compartment door is not closed tightly
If the ice compartment door is not closed tightly, the cold air in the ice bin will freeze food in the refrigerator compartment. 	 talks_about 	 the cold air in the ice bin will freeze food in the refrigerator compartment
the cold air in the ice bin will freeze food in the refrigerator compartment 	 Condition 	 the ice compartment door is not closed tightly
the ice compartment door is not closed tightly 	 Follows 	 the cold air in the ice bin will freeze food in the refrigerator compartment
This could also cause the icemaker to stop producing ice. 	 talks_about 	 the icemaker to stop producing ice
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks_about 	 the cold air in the ice bin
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks_about 	 the refrigerator compartment
the cold air in the ice bin will freeze food in the refrigerator compartment 	 talks_about 	 food
the cold air in the ice bin 	 will_freeze_food_in 	 the refrigerator compartment
the cold air in the ice bin 	 will_freeze 	 food
sentence_list_33 	 talks_about 	 Keep hands and tools out of the Ice Compartment door and dispenser chute.
sentence_list_33 	 talks_about 	 Failure to do so may result in damage or personal injury.
Keep hands and tools out of the Ice Compartment door and dispenser chute. 	 paraphrase 	 hands and tools should be kept out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 hands and tools
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 out of the Ice Compartment door and dispenser chute
hands and tools 	 should_be_kept 	 out of the Ice Compartment door and dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 tools
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 of the dispenser chute
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 hands
hands and tools should be kept out of the Ice Compartment door and dispenser chute 	 talks_about 	 of the Ice Compartment door chute
tools 	 should_be_kept_out 	 of the dispenser chute
hands 	 should_be_kept_out 	 of the dispenser chute
hands 	 should_be_kept_out 	 of the Ice Compartment door chute
tools 	 should_be_kept_out 	 of the Ice Compartment door chute
Failure to do so may result in damage or personal injury. 	 talks_about 	 Failure to do so
Failure to do so may result in damage or personal injury. 	 talks_about 	 damage or personal injury
Failure to do so 	 may_result_in 	 damage or personal injury
sentence_list_34 	 talks_about 	 The icemaker stops producing ice when In-Door Ice Bin is full.
sentence_list_34 	 talks_about 	 To make room for additional ice, empty In-Door Ice Bin into the extra ice bin in the freezer compartment.
To make room for additional ice, empty In-Door Ice Bin into the extra ice bin in the freezer compartment. 	 talks_about 	 empty In-Door Ice Bin
To make room for additional ice, empty In-Door Ice Bin into the extra ice bin in the freezer compartment. 	 talks_about 	 for into the extra ice bin in the freezer compartment
empty In-Door Ice Bin 	 should_be_made_by 	 for into the extra ice bin in the freezer compartment
sentence_list_34 	 talks_about 	 During use, the ice may stack unevenly in In-Door Ice Bin, causing The icemaker to misread the number of ice cubes and stop producing ice.
sentence_list_34 	 talks_about 	 Shaking In-Door Ice Bin to level the ice within In-Door Ice Bin can reduce this problem.
sentence_list_34 	 talks_about 	 If The icemaker is turned OFF for an extended period of time, the ice compartment will gradually warm up to the temperature of the refrigerator compartment.
sentence_list_34 	 talks_about 	 To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours.
To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours. 	 talks_about 	 ice cubes
To prevent ice cubes from melting and leaking from the dispenser, ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours. 	 talks_about 	 from melting and leaking from the dispenser ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours
ice cubes 	 should_be_prevented_by 	 from melting and leaking from the dispenser ALWAYS empty In-Door Ice Bin when The icemaker is turned OFF for more than a few hours
sentence_list_34 	 talks_about 	 The ice passage may become blocked with frost if only crushed ice is used.
