REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
set to the Power mode 	 Follows 	 the Fresh Air Filter stays on continuously for four hours , cycling on and off in increments of ten minutes on and five minutes off
After four hours, the Fresh Air Filter switches back to Auto mode. 	 talks_about 	 four hours, the Fresh Air Filter switches back to Auto mode
Press the Fresh Air Filter button repeatedly to toggle between the Power mode and Auto mode. 	 paraphrase 	 the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode
the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode 	 talks_about 	 the Fresh Air Filter button
the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode 	 talks_about 	 repeatedly to toggle between the Power mode and Auto mode
the Fresh Air Filter button 	 should_be_pressed 	 repeatedly to toggle between the Power mode and Auto mode
Replace Fresh Air Filter 	 paraphrase 	 Fresh Air Filter should be replaced
Fresh Air Filter should be replaced approximately every six months 	 talks_about 	 every six months
Fresh Air Filter 	 should_be_replaced 	 every six months
every six months 	 should_be_replaced_reverse 	 Fresh Air Filter
the Fresh Air Filter helps remove odors from the refrigerator. 	 talks_about 	 remove odors from the refrigerator
the Fresh Air Filter helps remove odors from the refrigerator. 	 talks_about 	 the Fresh Air Filter
remove odors from the refrigerator 	 helps_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 helps 	 remove odors from the refrigerator
the Fresh Air Filter has two settings, Auto and Power. 	 talks_about 	 two settings
the Fresh Air Filter has two settings, Auto and Power. 	 talks_about 	 the Fresh Air Filter
two settings 	 has_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 has 	 two settings
the Fresh Air Filter button should be pressed repeatedly to toggle between the Power mode and Auto mode 	 talks_about 	 toggle between the Power mode and Auto mode
toggle between the Power mode and Auto mode 	 should_be_pressed_repeatedly_to_reverse 	 the Fresh Air Filter button
the Fresh Air Filter button 	 should_be_pressed_repeatedly_to 	 toggle between the Power mode and Auto mode
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 increments of ten minutes on off
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 the Fresh Air Filter
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 cycling on
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 four hours
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 cycling off in increments of ten minutes on off
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 increments of five minutes off
the Fresh Air Filter stays on continuously for four hours, cycling on and off in increments of ten minutes on and five minutes off 	 talks_about 	 cycling off in increments of five minutes off
increments of ten minutes on off 	 cycling_off_in_reverse 	 the Fresh Air Filter
cycling on 	 stays_continuously_reverse 	 the Fresh Air Filter
four hours 	 stays_continuously_for_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 cycling_off_in 	 increments of ten minutes on off
cycling off in increments of ten minutes on off 	 stays_continuously_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 stays_continuously 	 cycling off in increments of ten minutes on off
the Fresh Air Filter 	 stays_continuously 	 cycling on
the Fresh Air Filter 	 stays_continuously_for 	 four hours
the Fresh Air Filter 	 cycling_off_in 	 increments of five minutes off
the Fresh Air Filter 	 stays_continuously 	 cycling off in increments of five minutes off
increments of five minutes off 	 cycling_off_in_reverse 	 the Fresh Air Filter
cycling off in increments of five minutes off 	 stays_continuously_reverse 	 the Fresh Air Filter
four hours, the Fresh Air Filter switches back to Auto mode 	 talks_about 	 four hours
four hours, the Fresh Air Filter switches back to Auto mode 	 talks_about 	 the Fresh Air Filter
four hours 	 switches_back_reverse 	 the Fresh Air Filter
the Fresh Air Filter 	 switches_back 	 four hours
sentence_list_0zpdk1 	 talks_about 	 When power is initially connected to the refrigerator, The lock function is off.
sentence_list_0zpdk1 	 talks_about 	 To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and The lock function is activated.
To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and The lock function is activated. 	 talks_about 	 the control panel buttons
To lock the control panel buttons, press and hold the Lock button until the k icon appears in the display and The lock function is activated. 	 talks_about 	 press and hold the Lock button until the k icon appears in the display and The lock function is activated
the control panel buttons 	 should_be_locked_by 	 press and hold the Lock button until the k icon appears in the display and The lock function is activated
sentence_list_0zpdk1 	 talks_about 	 To disable The lock function, press and hold the Lock button for approximately three seconds.
To disable The lock function, press and hold the Lock button for approximately three seconds. 	 talks_about 	 The lock function
To disable The lock function, press and hold the Lock button for approximately three seconds. 	 talks_about 	 press and hold the Lock button for approximately three seconds
The lock function 	 should_be_disabled_by 	 press and hold the Lock button for approximately three seconds
When power is initially connected to the refrigerator, The lock function is off. 	 talks_about 	 power is initially connected to the refrigerator
When power is initially connected to the refrigerator, The lock function is off. 	 talks_about 	 The lock function is off
The lock function is off 	 Synchronous 	 power is initially connected to the refrigerator
power is initially connected to the refrigerator 	 Synchronous 	 The lock function is off
power is initially connected to the refrigerator 	 talks_about 	 power
The lock function is off 	 talks_about 	 The lock function
sentence_list_ztcv11 	 talks_about 	 Replace the water filter when the h icon turns on.
sentence_list_ztcv11 	 talks_about 	 After replacing the water filter, press and hold the Water Filter button for three seconds to turn the icon light off.
sentence_list_ztcv11 	 talks_about 	 Replace the water filter approximately every six months.
Replace the water filter when the h icon turns on. 	 talks_about 	 the h icon turns on
Replace the water filter when the h icon turns on. 	 talks_about 	 Replace the water filter
Replace the water filter 	 Synchronous 	 the h icon turns on
the h icon turns on 	 Synchronous 	 Replace the water filter
Replace the water filter approximately every six months. 	 paraphrase 	 the water filter should be replaced approximately every six months
the water filter should be replaced approximately every six months 	 talks_about 	 the water filter
the water filter should be replaced approximately every six months 	 talks_about 	 approximately every six months
the water filter 	 should_be_replaced 	 approximately every six months
Replace the water filter 	 paraphrase 	 the water filter should be replaced
the water filter should be replaced approximately every six months 	 talks_about 	 every six months
the water filter 	 should_be_replaced 	 every six months
every six months 	 should_be_replaced_reverse 	 the water filter
sentence_list_fhqxbj 	 talks_about 	 The Wi-Fi button, when used with the LG ThinQ app, allows the refrigerator to connect to a home Wi-Fi network.
sentence_list_fhqxbj 	 talks_about 	 Refer to Smart Functions for information on the initial setup of the LG ThinQ app.
sentence_list_fhqxbj 	 talks_about 	 The f icon shows the status of the refrigerator network connection.
sentence_list_fhqxbj 	 talks_about 	 The f icon illuminates when the refrigerator is connected to a home Wi-Fi network.
sentence_list_fhqxbj 	 talks_about 	 Press and hold The Wi-Fi button for 3 seconds to connect to a home Wi-Fi network.
sentence_list_fhqxbj 	 talks_about 	 The f icon blinks while the connection is being made, then turns on once the connection is successfully made.
The Wi-Fi button, when used with the LG ThinQ app, allows the refrigerator to connect to a home Wi-Fi network. 	 talks_about 	 used with the LG ThinQ app
The Wi-Fi button, when used with the LG ThinQ app, allows the refrigerator to connect to a home Wi-Fi network. 	 talks_about 	 The Wi-Fi button, , allows the refrigerator to connect to a home Wi-Fi network
The Wi-Fi button , , allows the refrigerator to connect to a home Wi-Fi network 	 Synchronous 	 used with the LG ThinQ app
used with the LG ThinQ app 	 Synchronous 	 The Wi-Fi button , , allows the refrigerator to connect to a home Wi-Fi network
The f icon illuminates when the refrigerator is connected to a home Wi-Fi network. 	 talks_about 	 the refrigerator is connected to a home Wi-Fi network
The f icon illuminates when the refrigerator is connected to a home Wi-Fi network. 	 talks_about 	 The f icon illuminates
The f icon illuminates 	 Synchronous 	 the refrigerator is connected to a home Wi-Fi network
the refrigerator is connected to a home Wi-Fi network 	 Synchronous 	 The f icon illuminates
The f icon blinks while the connection is being made, then turns on once the connection is successfully made. 	 talks_about 	 the connection is being made
The f icon blinks while the connection is being made, then turns on once the connection is successfully made. 	 talks_about 	 The f icon blinks, then turns on once the connection is successfully made
The f icon blinks , then turns on once the connection is successfully made 	 Synchronous 	 the connection is being made
the connection is being made 	 Synchronous 	 The f icon blinks , then turns on once the connection is successfully made
The f icon blinks , then turns on once the connection is successfully made 	 talks_about 	 the connection is successfully made
The f icon blinks , then turns on once the connection is successfully made 	 talks_about 	 The f icon blinks, then turns on
The f icon blinks , then turns on 	 preceded_by 	 the connection is successfully made
the connection is successfully made 	 succeded_by 	 The f icon blinks , then turns on
The f icon shows the status of the refrigerator network connection. 	 talks_about 	 the status of the refrigerator network connection
The f icon shows the status of the refrigerator network connection. 	 talks_about 	 The f icon
the status of the refrigerator network connection 	 shows_reverse 	 The f icon
The f icon 	 shows 	 the status of the refrigerator network connection
The Wi-Fi button, , allows the refrigerator to connect to a home Wi-Fi network 	 talks_about 	 The Wi-Fi button
The Wi-Fi button, , allows the refrigerator to connect to a home Wi-Fi network 	 talks_about 	 the refrigerator to connect to a home Wi-Fi network
The Wi-Fi button 	 allows 	 the refrigerator to connect to a home Wi-Fi network
the refrigerator to connect to a home Wi-Fi network 	 allows_reverse 	 The Wi-Fi button
The f icon blinks, then turns on 	 talks_about 	 The f icon
sentence_list_oc2i4t 	 talks_about 	 Select the desired dispenser mode from the buttons on the dispenser control panel.
sentence_list_oc2i4t 	 talks_about 	 Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice.
Select the desired dispenser mode from the buttons on the dispenser control panel. 	 paraphrase 	 the desired dispenser mode should be selected from the buttons on the dispenser control panel
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks_about 	 the desired dispenser mode
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks_about 	 from the buttons on the dispenser control panel
the desired dispenser mode 	 should_be_selected 	 from the buttons on the dispenser control panel
Press the dispenser switch with a glass or other container to dispense cubed ice, water or crushed ice. 	 paraphrase 	 the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 the dispenser switch
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 with a glass or other container to dispense cubed ice, water or crushed ice
the dispenser switch 	 should_be_pressed 	 with a glass or other container to dispense cubed ice, water or crushed ice
the desired dispenser mode should be selected from the buttons on the dispenser control panel 	 talks_about 	 the buttons
the buttons 	 should_be_selected_from_reverse 	 the desired dispenser mode
the desired dispenser mode 	 should_be_selected_from 	 the buttons
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 dispense cubed ice, water or crushed ice
the dispenser switch should be pressed with a glass or other container to dispense cubed ice, water or crushed ice 	 talks_about 	 a glass or other container
the dispenser switch 	 should_be_pressed_with_a_glass_or_other_container_to 	 dispense cubed ice, water or crushed ice
dispense cubed ice, water or crushed ice 	 should_be_pressed_with_a_glass_or_other_container_to_reverse 	 the dispenser switch
a glass or other container 	 should_be_pressed_with_reverse 	 the dispenser switch
the dispenser switch 	 should_be_pressed_with 	 a glass or other container
sentence_list_jotzy5 	 talks_about 	 Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store.
sentence_list_jotzy5 	 talks_about 	 When activated, OFF is displayed on the control panel and the display remains on for 20 seconds.
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 on display in a retail store
Display Mode ( For Store Use Only ) disables all cooling in the refrigerator and freezer sections to conserve energy while on display in a retail store. 	 talks_about 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 Synchronous 	 on display in a retail store
on display in a retail store 	 Synchronous 	 Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 activated
When activated, OFF is displayed on the control panel and the display remains on for 20 seconds. 	 talks_about 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 Synchronous 	 activated
activated 	 Synchronous 	 OFF is displayed on the control panel and the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 the display remains on for 20 seconds
OFF is displayed on the control panel and the display remains on for 20 seconds 	 talks_about 	 OFF is displayed on the control panel
OFF is displayed on the control panel 	 Conjunction 	 the display remains on for 20 seconds
the display remains on for 20 seconds 	 Conjunction 	 OFF is displayed on the control panel
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 Display Mode For Store Use
Display Mode For Store Use Only disables all cooling in the refrigerator and freezer sections to conserve energy 	 talks_about 	 all cooling in the refrigerator sections to conserve energy
all cooling in the freezer sections to conserve energy 	 disables_reverse 	 Display Mode For Store Use
Display Mode For Store Use 	 disables 	 all cooling in the freezer sections to conserve energy
Display Mode For Store Use 	 disables 	 all cooling in the refrigerator sections to conserve energy
all cooling in the refrigerator sections to conserve energy 	 disables_reverse 	 Display Mode For Store Use
the display remains on for 20 seconds 	 talks_about 	 20 seconds
the display remains on for 20 seconds 	 talks_about 	 the display
OFF is displayed on the control panel 	 talks_about 	 the control panel
sentence_list_5i7u0k 	 talks_about 	 With either refrigerator door opened, press and hold the Refrigerator and Ice Plus buttons at the same time for 5 seconds.
sentence_list_5i7u0k 	 talks_about 	 The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated.
sentence_list_5i7u0k 	 talks_about 	 Use the same procedure to activate Display Mode ( For Store Use Only ).
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 Display Mode For Store Use Only is deactivated
The control panel beeps and the temperature settings display to confirm that Display Mode ( For Store Use Only ) is deactivated. 	 talks_about 	 The control panel beeps and the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 that 	 Display Mode For Store Use Only is deactivated
Use the same procedure to activate Display Mode ( For Store Use Only ). 	 paraphrase 	 the same procedure should be used to activate Display Mode For Store Use Only
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 the same procedure
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 to activate Display Mode For Store Use Only
the same procedure 	 should_be_used 	 to activate Display Mode For Store Use Only
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 the temperature settings display to confirm
The control panel beeps and the temperature settings display to confirm 	 talks_about 	 The control panel beeps
The control panel beeps 	 Conjunction 	 the temperature settings display to confirm
the temperature settings display to confirm 	 Conjunction 	 The control panel beeps
the same procedure should be used to activate Display Mode For Store Use Only 	 talks_about 	 activate Display Mode For Store Use Only
the same procedure 	 should_be_used_to 	 activate Display Mode For Store Use Only
activate Display Mode For Store Use Only 	 should_be_used_to_reverse 	 the same procedure
the temperature settings display to confirm 	 talks_about 	 confirm
the temperature settings display to confirm 	 talks_about 	 the temperature settings
confirm 	 display_to_reverse 	 the temperature settings
the temperature settings 	 display_to 	 confirm
sentence_list_qxt5c5 	 talks_about 	 Sabbath Mode is only available on some models.
Sabbath Mode is only available on some models. 	 talks_about 	 only available
Sabbath Mode is only available on some models. 	 talks_about 	 Sabbath Mode
Sabbath Mode is only available on some models. 	 talks_about 	 some models
only available 	 is_reverse 	 Sabbath Mode
Sabbath Mode 	 is_only_available_on 	 some models
some models 	 is_only_available_on_reverse 	 Sabbath Mode
Sabbath Mode 	 is 	 only available
sentence_list_g7b98r 	 talks_about 	 Sabbath Mode automatically turns off after 96 hours.
sentence_list_g7b98r 	 talks_about 	 Once turned on, Sabbath Mode is maintained even after a power outage.
sentence_list_g7b98r 	 talks_about 	 Selecting Sabbath Mode automatically turns off the alarm functions.
sentence_list_g7b98r 	 talks_about 	 The dispenser and InstaView are disabled in Sabbath Mode, on applicable models.
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 turned on
Once turned on, Sabbath Mode is maintained even after a power outage. 	 talks_about 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode is maintained even after a power outage 	 preceded_by 	 turned on
turned on 	 succeded_by 	 Sabbath Mode is maintained even after a power outage
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 Sabbath Mode
Sabbath Mode automatically turns off after 96 hours. 	 talks_about 	 96 hours
Sabbath Mode 	 automatically_turns_off_after 	 96 hours
96 hours 	 automatically_turns_off_after_reverse 	 Sabbath Mode
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks_about 	 the alarm functions
Selecting Sabbath Mode automatically turns off the alarm functions. 	 talks_about 	 Selecting Sabbath Mode
the alarm functions 	 automatically_turns_off_reverse 	 Selecting Sabbath Mode
Selecting Sabbath Mode 	 automatically_turns_off 	 the alarm functions
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 Sabbath Mode
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 InstaView
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 The dispenser
The dispenser and InstaView are disabled in Sabbath Mode, on applicable models. 	 talks_about 	 disabled
Sabbath Mode 	 are_disabled_in_reverse 	 InstaView
The dispenser 	 are_disabled_in 	 Sabbath Mode
InstaView 	 are 	 disabled
Sabbath Mode 	 are_disabled_in_reverse 	 The dispenser
The dispenser 	 are 	 disabled
disabled 	 are_reverse 	 The dispenser
InstaView 	 are_disabled_in 	 Sabbath Mode
disabled 	 are_reverse 	 InstaView
Sabbath Mode is maintained even after a power outage 	 talks_about 	 even after a power outage
Sabbath Mode is maintained even after a power outage 	 talks_about 	 Sabbath Mode
even after a power outage 	 is_maintained_reverse 	 Sabbath Mode
Sabbath Mode 	 is_maintained 	 even after a power outage
sentence_list_5pzyg6 	 talks_about 	 To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display.
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display. 	 talks_about 	 Sabbath mode
To turn Sabbath mode on, touch the display to activate Sabbath mode, then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display. 	 talks_about 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display
Sabbath mode 	 should_be_turned_by 	 on touch the display to activate Sabbath mode then press and hold the Freezer and Wi-Fi buttons for 3 seconds until appears in the display
sentence_list_5pzyg6 	 talks_about 	 To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds.
To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks_about 	 Sabbath mode
To turn Sabbath mode off manually, press and hold the Freezer and Wi-Fi buttons for 3 seconds. 	 talks_about 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
Sabbath mode 	 should_be_turned_by 	 off manually press and hold the Freezer and Wi-Fi buttons for 3 seconds
sentence_list_zz27xo 	 talks_about 	 The dispenser will not operate when either of the refrigerator doors is open.
sentence_list_zz27xo 	 talks_about 	 If discolored ice is dispensed, check the water filter and water supply.
sentence_list_zz27xo 	 talks_about 	 If the problem continues, contact an LG Electronics Customer Information Center.
sentence_list_zz27xo 	 talks_about 	 Do not use the water or ice until the problem is corrected.
sentence_list_zz27xo 	 talks_about 	 Dispense ice into a glass before filling a glass with water or other beverages.
sentence_list_zz27xo 	 talks_about 	 Splashing may occur if ice is dispensed into a glass that already contains liquid.
sentence_list_zz27xo 	 talks_about 	 Some dripping may occur after dispensing.
sentence_list_zz27xo 	 talks_about 	 Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops.
sentence_list_zz27xo 	 talks_about 	 Keep containers at an appropriate distance from the dispensers.
sentence_list_zz27xo 	 talks_about 	 Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute.
sentence_list_zz27xo 	 talks_about 	 A container with a very small opening should be held as close to the dispenser as possible to avoid spilling.
The dispenser will not operate when either of the refrigerator doors is open. 	 talks_about 	 either of the refrigerator doors is open
The dispenser will not operate when either of the refrigerator doors is open. 	 talks_about 	 The dispenser will not operate
The dispenser will not operate 	 Synchronous 	 either of the refrigerator doors is open
either of the refrigerator doors is open 	 Synchronous 	 The dispenser will not operate
If discolored ice is dispensed, check the water filter and water supply. 	 talks_about 	 discolored ice is dispensed
If discolored ice is dispensed, check the water filter and water supply. 	 talks_about 	 check the water filter and water supply
check the water filter and water supply 	 Condition 	 discolored ice is dispensed
discolored ice is dispensed 	 Follows 	 check the water filter and water supply
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks_about 	 the problem continues
If the problem continues, contact an LG Electronics Customer Information Center. 	 talks_about 	 contact an LG Electronics Customer Information Center
contact an LG Electronics Customer Information Center 	 Condition 	 the problem continues
the problem continues 	 Follows 	 contact an LG Electronics Customer Information Center
Do not use the water or ice until the problem is corrected. 	 talks_about 	 the problem is corrected
Do not use the water or ice until the problem is corrected. 	 talks_about 	 Do not use the water or ice
Do not use the water or ice 	 succeded_by 	 the problem is corrected
the problem is corrected 	 preceded_by 	 Do not use the water or ice
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks_about 	 ice is dispensed into a glass that already contains liquid
Splashing may occur if ice is dispensed into a glass that already contains liquid. 	 talks_about 	 Splashing may occur
Splashing may occur 	 Condition 	 ice is dispensed into a glass that already contains liquid
ice is dispensed into a glass that already contains liquid 	 Follows 	 Splashing may occur
Hold the cup beneath the dispenser for a few seconds after dispensing to catch all of the drops. 	 paraphrase 	 the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 the cup
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
the cup 	 should_be_held 	 beneath the dispenser for a few seconds after dispensing to catch all of the drops
Keep containers at an appropriate distance from the dispensers. 	 paraphrase 	 containers should be kept at an appropriate distance from the dispensers
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 containers
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 at an appropriate distance from the dispensers
containers 	 should_be_kept 	 at an appropriate distance from the dispensers
check the water filter and water supply 	 paraphrase 	 the water filter and water supply should be checked
contact an LG Electronics Customer Information Center 	 paraphrase 	 an LG Electronics Customer Information Center should be contacted
Do not use the water or ice 	 paraphrase 	 the water or ice should not be used
ice is dispensed into a glass that already contains liquid 	 talks_about 	 already contains liquid
ice is dispensed into a glass that already contains liquid 	 talks_about 	 ice is dispensed into a glass
ice is dispensed into a glass 	 that 	 already contains liquid
Some dripping may occur after dispensing. 	 talks_about 	 dispensing
Some dripping may occur after dispensing. 	 talks_about 	 Some dripping
dispensing 	 may_occur_after_reverse 	 Some dripping
Some dripping 	 may_occur_after 	 dispensing
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 a few seconds
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 dispensing to catch all of the drops
the cup should be held beneath the dispenser for a few seconds after dispensing to catch all of the drops 	 talks_about 	 the dispenser
the cup 	 should_be_held_for 	 a few seconds
dispensing to catch all of the drops 	 should_be_held_after_reverse 	 the cup
a few seconds 	 should_be_held_for_reverse 	 the cup
the cup 	 should_be_held_after 	 dispensing to catch all of the drops
the cup 	 should_be_held_beneath 	 the dispenser
the dispenser 	 should_be_held_beneath_reverse 	 the cup
containers should be kept at an appropriate distance from the dispensers 	 talks_about 	 an appropriate distance from the dispensers
an appropriate distance from the dispensers 	 should_be_kept_at_reverse 	 containers
containers 	 should_be_kept_at 	 an appropriate distance from the dispensers
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 narrow glasses
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 prevent ice from jamming in the ice chute
Tall, narrow glasses should be held far enough from the ice outlet to prevent ice from jamming in the ice chute. 	 talks_about 	 far enough from the ice outlet
narrow glasses 	 should_be_held_to 	 prevent ice from jamming in the ice chute
narrow glasses 	 should_be_held 	 far enough from the ice outlet
prevent ice from jamming in the ice chute 	 should_be_held_to_reverse 	 narrow glasses
far enough from the ice outlet 	 should_be_held_reverse 	 narrow glasses
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks_about 	 A container with a very small opening
A container with a very small opening should be held as close to the dispenser as possible to avoid spilling. 	 talks_about 	 avoid spilling
A container with a very small opening 	 should_be_held_to 	 avoid spilling
avoid spilling 	 should_be_held_to_reverse 	 A container with a very small opening
either of the refrigerator doors is open 	 talks_about 	 either of the refrigerator doors
an LG Electronics Customer Information Center should be contacted 	 talks_about 	 Information Center
an LG Electronics Customer Information Center should be contacted 	 talks_about 	 LG
Information Center 	 [is]_Electronics_Customer_[of] 	 LG
LG 	 [is]_Electronics_Customer_[of]_reverse 	 Information Center
ice is dispensed into a glass 	 talks_about 	 ice
ice is dispensed into a glass 	 talks_about 	 a glass
ice 	 is_dispensed_into 	 a glass
a glass 	 is_dispensed_into_reverse 	 ice
sentence_list_ermtt1 	 talks_about 	 Keep children away from the dispenser.
sentence_list_ermtt1 	 talks_about 	 Children may play with or damage the controls.
sentence_list_ermtt1 	 talks_about 	 Throw away the first bin full of ice ( about 140-160 cubes ) after installation.
sentence_list_ermtt1 	 talks_about 	 The first ice and water dispensed may include particles or odor from the water supply line or the water tank.
sentence_list_ermtt1 	 talks_about 	 This is also necessary if the refrigerator has not been used for a long time.
sentence_list_ermtt1 	 talks_about 	 Dispense and throw away 2.5 gallons of water ( flush for approximately 5 minutes ) after installation.
sentence_list_ermtt1 	 talks_about 	 Do not dispense 2.5 gallons of water continuously.
sentence_list_ermtt1 	 talks_about 	 Press and release the dispenser pad for cycles of 30 seconds ON and 60 seconds OFF.
sentence_list_ermtt1 	 talks_about 	 If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center.
sentence_list_ermtt1 	 talks_about 	 Never use a glass that is exceptionally narrow or deep.
sentence_list_ermtt1 	 talks_about 	 Ice may jam in the ice passage and refrigerator performance may be affected.
sentence_list_ermtt1 	 talks_about 	 When dispensing ice from the dispenser, do not use a fragile container.
Keep children away from the dispenser. 	 paraphrase 	 children should be kept away from the dispenser
children should be kept away from the dispenser 	 talks_about 	 children
children should be kept away from the dispenser 	 talks_about 	 away from the dispenser
children 	 should_be_kept 	 away from the dispenser
Throw away the first bin full of ice ( about 140-160 cubes ) after installation. 	 paraphrase 	 the first bin full of ice about 140-160 cubes should be thrown away after installation
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 the first bin full of ice about 140-160 cubes
the first bin full of ice about 140-160 cubes should be thrown away after installation 	 talks_about 	 away after installation
the first bin full of ice about 140-160 cubes 	 should_be_thrown 	 away after installation
This is also necessary if the refrigerator has not been used for a long time. 	 talks_about 	 the refrigerator has not been used for a long time
This is also necessary if the refrigerator has not been used for a long time. 	 talks_about 	 This is also necessary
This is also necessary 	 Condition 	 the refrigerator has not been used for a long time
the refrigerator has not been used for a long time 	 Follows 	 This is also necessary
Do not dispense 2.5 gallons of water continuously. 	 paraphrase 	 2.5 gallons of water should not be dispensed continuously
2.5 gallons of water should not be dispensed continuously 	 talks_about 	 2.5 gallons of water
2.5 gallons of water should not be dispensed continuously 	 talks_about 	 continuously
2.5 gallons of water 	 should_not_be_dispensed 	 continuously
If ice or water dispenses unexpectedly, turn off the water supply and contact an LG Electronics Customer Information Center. 	 talks_about 	 ice or water dispenses unexpectedly
